callSign	frequency	type	city	state	name	longitude	latitude
W226AA	93.1	FM	EASTON	PA	MERCER COUNTY COMMUNITY COLLEGE	-75.20794	40.69814
K219DM	91.7	FM	EAGLE	AK	UNIVERSITY OF ALASKA	-141.20897	64.78611
W258AC	99.5	FM	STORRS	CT	CONNECTICUT PUBLIC BROADCASTING, INC	-72.25953	41.814
W224AX	92.7	FM	LAFAYETTE	IN	PENSACOLA CHRISTIAN COLLEGE, INC.	-86.86444	40.39058
W217BB	91.3	FM	HICKORY POINT	IL	WEST CENTRAL MICHIGAN MEDIA MINISTRIES	-89.01536	39.87614
KGNA-FM	89.9	FM	ARNOLD	MO	MISSOURI RIVER CHRISTIAN BROADCASTING, INC.	-90.39011	38.43725
WSPP-LP	93.5	FM	HOPKINSVILLE	KY	IMMACULATE HEART RADIO ASSOCIATION	-87.51194	36.87089
KYHO-LP	106.9	FM	POPLAR BLUFF	MO	VISION BROADCASTING OF POPLAR BLUFF, INC.	-90.4315	36.76253
WHEZ-LP	95.9	FM	HARTSVILLE	SC	LIGHTHOUSE GOSPEL NETWORK	-80.19144	34.38486
W273BQ	102.5	FM	DAYTON	OH	SPIRIT COMMUNICATIONS, INC.	-84.06556	39.88028
WRMK-LP	100.3	FM	AUGUSTA	GA	THE GOOD NEWS CHURCH	-82.05983	33.50317
WXNM-LP	95.9	FM	ERIE	PA	ERIE CHRISTIAN BROADCASTING, INC.	-80.04756	42.08061
K264AV	100.7	FM	WAIMEA	HI	WP MEDIA LENDING, LLC	-155.68194	20.01056
WLLO-LP	102.9	FM	LONDONDERRY	NH	LONDONDERRY SCHOOL DISTRICT, SCHOOL ADMINISTRATIVE UNIT 12	-71.39756	42.91897
K226BM	93.1	FM	CLEBURNE	TX	INTELLI, LLC	-97.39111	32.36042
KZPY-LP	106.9	FM	MARLOW	OK	IN THE ZONE RADIO, INC.	-97.95892	34.65478
K201IH	88.1	FM	NAPA	CA	CSN INTERNATIONAL	-122.21608	38.26408
W217BH	91.3	FM	LITTLETON	NH	NEW HAMPSHIRE PUBLIC RADIO, INCORPORATED	-71.73675	44.35283
W282BS	104.3	FM	DUNLAP	IL	LSE BROADCASTING, INC.	-89.57481	40.73614
K206EG	89.1	FM	PORTALES	NM	CSN INTERNATIONAL	-103.27939	34.19286
W219DN	91.7	FM	ELIZABETH CITY	NC	CSN INTERNATIONAL	-76.24883	36.3485
WVAO-LP	105.9	FM	ATHOL	MA	ATHOL ORANGE COMMUNITY TELEVISION, INC.	-72.22628	42.57328
W224CQ	92.7	FM	WINTER GARDEN	FL	BIBLE BROADCASTING NETWORK, INC.	-81.60008	28.55333
WSEJ-LP	96.7	FM	SPARTANBURG	SC	ST. PAUL THE APOSTLE CATHOLIC SCHOOL	-81.92572	34.95236
W268CB	101.5	FM	MELBOURNE	FL	NATIONAL CHRISTIAN NETWORK	-80.70339	28.13697
K296GJ	107.1	FM	SLIDELL	LA	PROVIDENCE EDUCATIONAL FOUNDATION, INC.	-89.79422	30.27519
WBWG-LP	99.1	FM	IDA MAY	WV	GOD'S WORD BROADCASTING, INC.	-80.26008	39.49981
WFGU-LP	88.1	FM	WINCHESTER	OH	HOPE RADIO OF WINCHESTER	-83.62603	38.98339
