callSign	frequency	type	city	state	name	longitude	latitude
WAQI	710	AM	MIAMI	FL	UNIVISION RADIO STATIONS GROUP, INC.	-80.37889	25.96861
KFI	640	AM	LOS ANGELES	CA	CAPSTAR TX, LLC	-118.01306	33.87972
WWFE	670	AM	MIAMI	FL	FENIX BROADCASTING CORP.	-80.48111	25.8575
KBRT	740	AM	COSTA MESA	CA	KIERTRON, INC.	-117.63833	33.82889
KICY	850	AM	NOME	AK	ARCTIC BROADCASTING ASSOCIATION	-165.31194	64.48833
WIOD	610	AM	MIAMI	FL	CLEAR CHANNEL BROADCASTING LICENSES, INC.	-80.47556	25.71056
WINZ	940	AM	MIAMI	FL	CLEAR CHANNEL BROADCASTING LICENSES, INC.	-80.27028	25.96
KCTA	1030	AM	CORPUS CHRISTI	TX	BROADCASTING CORPORATION OF THE SOUTHWEST	-97.25972	27.93306
KTRH	740	AM	HOUSTON	TX	AMFM TEXAS LICENSES LLC	-94.94222	29.96583
WWBC	1510	AM	COCOA	FL	ASTRO ENTERPRISES, INC.	-80.77917	28.35333
KCBS	740	AM	SAN FRANCISCO	CA	ENTERCOM LICENSE, LLC	-122.52917	38.13972
KSPN	710	AM	LOS ANGELES	CA	ABC RADIO LOS ANGELES ASSETS, LLC	-118.40972	34.17389
KTRB	860	AM	SAN FRANCISCO	CA	NEW INSPIRATION BROADCASTING COMPANY, INC.	-122.13028	37.63222
KTNQ	1020	AM	LOS ANGELES	CA	UNIVISION RADIO STATIONS GROUP, INC.	-117.98333	34.03333
KCBQ	1170	AM	SAN DIEGO	CA	NEW INSPIRATION BROADCASTING COMPANY, INC.	-116.92528	32.895
KTCT	1050	AM	SAN MATEO	CA	RADIO LICENSE HOLDING SRC LLC	-122.15056	37.65056
WURN	1040	AM	MIAMI	FL	ACTUALIDAD 1040AM LICENSEE, LLC	-80.42	25.84278
KKSF	910	AM	OAKLAND	CA	AMFM BROADCASTING LICENSES, LLC	-122.32361	37.89583
KEIB	1150	AM	LOS ANGELES	CA	CITICASTERS LICENSES, INC.	-117.98333	34.03333
KRXA	540	AM	CARMEL VALLEY	CA	EL SEMBRADOR MINISTRIES	-121.54139	36.66
KRLA	870	AM	GLENDALE	CA	NEW INSPIRATION BROADCASTING COMPANY	-118.22611	34.13694
WNMA	1210	AM	MIAMI SPRINGS	FL	MULTICULTURAL RADIO BROADCASTING LICENSEE, LLC	-80.36361	25.9
KDUN	1030	AM	REEDSPORT	OR	POST ROCK COMMUNICATIONS, LLC	-124.075	43.73806
WSUA	1260	AM	MIAMI	FL	WSUA BROADCASTING CORPORATION	-80.42111	25.77278
WOKV	690	AM	JACKSONVILLE	FL	COX RADIO, LLC	-81.71167	30.11861
WIXC	1060	AM	TITUSVILLE	FL	GENESIS COMMUNICATIONS I, INC.	-80.92139	28.66306
KBLA	1580	AM	SANTA MONICA	CA	MULTICULTURAL RADIO BROADCASTING LICENSEE, LLC	-118.25667	34.08556
WQBA	1140	AM	MIAMI	FL	UNIVISION RADIO STATIONS GROUP, INC.	-80.48611	25.7675
WWNN	1470	AM	POMPANO BEACH	FL	BEASLEY MEDIA GROUP LICENSES, LLC	-80.22083	26.17944
WWJZ	640	AM	MOUNT HOLLY	NJ	RELEVANT RADIO, INC.	-74.71972	39.99694
KSSK	590	AM	HONOLULU	HI	CAPSTAR TX, LLC	-157.87556	21.32389
KPRZ	1210	AM	SAN MARCOS-POWAY	CA	NEW INSPIRATION BROADCASTING COMPANY, INC.	-117.19306	33.06944
WWBA	820	AM	LARGO	FL	GENESIS COMMUNICATIONS OF TAMPA BAY, INC.	-82.78083	27.90833
KLAA	830	AM	ORANGE	CA	LAA 1, LLC	-117.61583	33.92861
WWL	870	AM	NEW ORLEANS	LA	ENTERCOM LICENSE, LLC	-90.13194	29.83722
KHVH	830	AM	HONOLULU	HI	CAPSTAR TX, LLC	-157.87556	21.32389
KNOM	780	AM	NOME	AK	KNOM RADIO MISSION, INC.	-165.29944	64.48778
WQOS	1080	AM	CORAL GABLES	FL	RELEVANT RADIO, INC.	-80.54639	25.74806
KDBV	980	AM	SALINAS	CA	CENTRO CRISTIANO VIDA ABUNDANTE, INC.	-121.59222	36.73278
KMPC	1540	AM	LOS ANGELES	CA	P&Y BROADCASTING CORPORATION	-118.18472	34.07861
KIQI	1010	AM	SAN FRANCISCO	CA	MULTICULTURAL RADIO BROADCASTING LICENSEE, LLC	-122.31028	37.82611
WBOB	600	AM	JACKSONVILLE	FL	CHESAPEAKE-PORTSMOUTH BROADCASTING CORPORATION	-81.75944	30.3
KLOK	1170	AM	SAN JOSE	CA	KLOK MEDIA, INC.	-121.87139	37.35778
WDMC	920	AM	MELBOURNE	FL	DIVINE MERCY COMMUNICATIONS, INC.	-80.72	28.12083
WFTL	850	AM	WEST PALM BEACH	FL	WPB FCC LICENSE SUB, LLC	-80.74167	26.54167
WJBX	770	AM	NORTH FORT MYERS	FL	BEASLEY MEDIA GROUP LICENSES, LLC	-81.8475	26.775
WOR	710	AM	NEW YORK	NY	AMFM RADIO LICENSES, L.L.C.	-74.08472	40.79639
KRVN	880	AM	LEXINGTON	NE	NEBRASKA RURAL RADIO ASSOCIATION	-99.39639	40.51583
KYAA	1200	AM	SOQUEL	CA	RELEVANT RADIO, INC.	-121.54139	36.66056
WHB	810	AM	KANSAS CITY	MO	UNION BROADCASTING, INC.	-94.575	39.30583
WQVN	1360	AM	NORTH MIAMI	FL	RADIO PIMENT BOUK	-80.18972	25.83944
KRDC	1110	AM	PASADENA	CA	ABC RADIO LOS ANGELES ASSETS, LLC	-117.9975	34.11389
KNFL	740	AM	FARGO	ND	MIDWEST COMMUNICATIONS, INC.	-96.50333	46.97472
KSDO	1130	AM	SAN DIEGO	CA	HI-FAVOR BROADCASTING, LLC	-116.96417	32.85111
KCEO	1000	AM	VISTA	CA	RELEVANT RADIO, INC.	-117.26972	33.23278
KNUI	550	AM	WAILUKU	HI	PACIFIC RADIO GROUP, INC.	-156.48889	20.89056
KKMC	880	AM	GONZALES	CA	MONTEREY COUNTY BROADCASTERS, INC.	-121.43472	36.56278
KIRN	670	AM	SIMI VALLEY	CA	LOTUS OXNARD CORP.	-118.71556	34.31944
WTAR	850	AM	NORFOLK	VA	SINCLAIR TELECABLE, INC.	-76.69056	37.06
KKYX	680	AM	SAN ANTONIO	TX	CMG NY/TEXAS RADIO, LLC	-98.83167	29.50083
KGBT	1530	AM	HARLINGEN	TX	TICHENOR LICENSE CORPORATION	-97.89528	26.37583
KCBC	770	AM	MANTECA	CA	KIERTRON, INC.	-120.88361	37.7975
KKZZ	1520	AM	PORT HUENEME	CA	GOLD COAST BROADCASTING LLC	-119.13389	34.16722
KSTE	650	AM	RANCHO CORDOVA	CA	AMFM BROADCASTING LICENSES, LLC	-121.27722	38.47972
KOGO	600	AM	SAN DIEGO	CA	CITICASTERS LICENSES, INC.	-117.06778	32.72861
KSKY	660	AM	BALCH SPRINGS	TX	BISON MEDIA, INC.	-96.9475	33.04083
WMEN	640	AM	ROYAL PALM BEACH	FL	WPB FCC LICENSE SUB, LLC	-80.36667	26.755
KSFO	560	AM	SAN FRANCISCO	CA	RADIO LICENSE HOLDINGS LLC	-122.37778	37.74556
KFYR	550	AM	BISMARCK	ND	CITICASTERS LICENSES, INC.	-100.54361	46.85333
KOXR	910	AM	OXNARD	CA	LAZER LICENSES, LLC	-119.11861	34.27111
KSCO	1080	AM	SANTA CRUZ	CA	ZWERLING BROADCASTING SYSTEM, LTD	-121.98083	36.96194
WCNZ	1660	AM	MARCO ISLAND	FL	RELEVANT RADIO, INC.	-81.625	25.99167
KXTK	1280	AM	ARROYO GRANDE	CA	PACIFIC COAST MEDIA LLC	-120.52083	35.14556
KSEV	700	AM	TOMBALL	TX	PATRICK BROADCASTING LP	-95.59444	30.19278
WHSR	980	AM	POMPANO BEACH	FL	BEASLEY MEDIA GROUP LICENSES, LLC	-80.26528	26.335
KMJ	580	AM	FRESNO	CA	CUMULUS LICENSING LLC	-119.34639	36.65917
WNAX	570	AM	YANKTON	SD	SAGA COMMUNICATIONS OF SOUTH DAKOTA, LLC	-97.31611	42.91306
WVOJ	1570	AM	FERNANDINA BEACH	FL	NORSAN CONSULTING AND MANAGEMENT, INC.	-81.45972	30.67583
WSCR	670	AM	CHICAGO	IL	ENTERCOM LICENSE, LLC	-88.07278	41.93417
KLVI	560	AM	BEAUMONT	TX	CAPSTAR TX, LLC	-93.87083	30.04528
KILT	610	AM	HOUSTON	TX	ENTERCOM LICENSE, LLC	-95.42583	29.91778
KFOX	1650	AM	TORRANCE	CA	HK MEDIA, INC.	-118.34472	34.01944
WQNO	690	AM	NEW ORLEANS	LA	CATHOLIC COMMUNITY RADIO, INC.	-89.95861	29.96333
KGBN	1190	AM	ANAHEIM	CA	KOREAN GOSPEL BROADCASTING NETWORK	-117.86222	33.945
KYST	920	AM	TEXAS CITY	TX	HISPANIC BROADCASTING, INC.	-94.93667	29.4175
KLHT	1040	AM	HONOLULU	HI	CALVARY CHAPEL OF HONOLULU, INC.	-157.89361	21.335
WDAE	620	AM	ST. PETERSBURG	FL	CLEAR CHANNEL BROADCASTING LICENSES, INC.	-82.59056	27.87694
WPOM	1600	AM	RIVIERA BEACH	FL	CARIBBEAN MEDIA GROUP, INC.	-80.13278	26.74861
KIKI	990	AM	HONOLULU	HI	CAPSTAR TX, LLC	-157.87556	21.32389
WEFL	760	AM	TEQUESTA	FL	GOOD KARMA BROADCASTING, LLC	-80.19278	26.99528
KEAR	610	AM	SAN FRANCISCO	CA	FAMILY STATIONS, INC.	-122.29556	37.84944
KKOB	770	AM	ALBUQUERQUE	NM	RADIO LICENSE HOLDING CBC, LLC	-106.61139	35.2025
WSRF	1580	AM	FORT LAUDERDALE	FL	NICHE RADIO, INC.	-80.2175	26.0775
WRKO	680	AM	BOSTON	MA	IHM LICENSES, LLC	-71.21806	42.49028
KGNC	710	AM	AMARILLO	TX	ALPHA MEDIA LICENSEE LLC	-101.55667	35.41972
KTNN	660	AM	WINDOW ROCK	AZ	THE NAVAJO NATION	-109.14139	35.895
KLTT	670	AM	COMMERCE CITY	CO	KLZ RADIO, INC.	-104.73056	39.95556
KPUA	670	AM	HILO	HI	NEW WEST BROADCASTING CORP.	-155.09028	19.78389
KION	1460	AM	SALINAS	CA	IHM LICENSES, LLC	-121.59222	36.73306
WKQK	1300	AM	COCOA BEACH	FL	321 CORPORATION	-80.76833	28.34389
KVTA	1590	AM	VENTURA	CA	GOLD COAST BROADCASTING LLC	-119.2025	34.23694
WEEI	850	AM	BOSTON	MA	ENTERCOM LICENSE, LLC	-71.26722	42.27806
WZNZ	1600	AM	ATLANTIC BEACH	FL	RELEVANT RADIO, INC.	-81.43	30.32472
KUAU	1570	AM	HAIKU	HI	FIRST ASSEMBLY KING'S CATHEDRAL AND CHAPELS	-156.46694	20.79167
KDWN	720	AM	LAS VEGAS	NV	BEASLEY MEDIA GROUP LICENSES, LLC	-114.97222	36.07278
WIBW	580	AM	TOPEKA	KS	ALPHA MEDIA LICENSEE LLC	-95.78278	39.08472
WSBR	740	AM	BOCA RATON	FL	BEASLEY MEDIA GROUP LICENSES, LLC	-80.26528	26.335
KABC	790	AM	LOS ANGELES	CA	RADIO LICENSE HOLDINGS LLC	-118.34556	34.01944
KXYZ	1320	AM	HOUSTON	TX	MULTICULTURAL RADIO BROADCASTING LICENSEE, LLC	-95.175	29.71083
KMKY	1310	AM	OAKLAND	CA	RADIO PUNJAB AM 1310 INC.	-122.31944	37.82417
KFRM	550	AM	SALINA	KS	TAYLOR COMMUNICATIONS, INC.	-97.66028	39.43444
WMYM	990	AM	KENDALL	FL	ACTUALIDAD 990AM LICENSEE, LLC	-80.52111	25.62639
KSFN	1510	AM	PIEDMONT	CA	LAZER LICENSES, LLC	-122.28611	37.81722
KRLD	1080	AM	DALLAS	TX	ENTERCOM LICENSE, LLC	-96.64556	32.89028
WHBO	1040	AM	PINELLAS PARK	FL	GENESIS COMMUNICATIONS OF TAMPA BAY, INC.	-82.7725	27.84722
WLNO	1060	AM	NEW ORLEANS	LA	ETERNITY MEDIA GROUP WLNO, LLC	-89.9975	29.87944
WACC	830	AM	HIALEAH	FL	PAX CATHOLIC COMMUNICATIONS, INC.	-80.42111	25.77278
WDJA	1420	AM	DELRAY BEACH	FL	RADIO CRISTO MI REDENTOR UNIVERSO 1420AM INC.	-80.09944	26.45611
WFLA	970	AM	TAMPA	FL	CITICASTERS LICENSES, INC.	-82.60944	28.02056
KTIB	640	AM	THIBODAUX	LA	GAP BROADCASTING, LLC	-90.91333	29.85139
KBME	790	AM	HOUSTON	TX	AMFM TEXAS LICENSES LLC	-95.46167	29.915
KLIF	570	AM	DALLAS	TX	KLIF LICO LLC	-96.94028	32.94472
KCIK	740	AM	KIHEI	HI	RELEVANT RADIO, INC.	-156.46694	20.79167
KLAC	570	AM	LOS ANGELES	CA	LOS ANGELES BROADCASTING PARTNERS, LLC	-118.19333	34.06972
KGOL	1180	AM	HUMBLE	TX	ENTRAVISION HOLDINGS, LLC	-95.29	30.13917
WCRV	640	AM	COLLIERVILLE	TN	BOTT BROADCASTING COMPANY/TENNESSEE	-89.89944	34.99306
KSFB	1260	AM	SAN FRANCISCO	CA	RELEVANT RADIO, INC.	-122.39389	37.71611
KECR	910	AM	EL CAJON	CA	FAMILY STATIONS, INC.	-116.92556	32.89556
KXSP	590	AM	OMAHA	NE	SM-KXSP, LLC	-95.99778	41.31528
WLQY	1320	AM	HOLLYWOOD	FL	ENTRAVISION HOLDINGS, LLC	-80.27833	26.03139
KDEI	1250	AM	PORT ARTHUR	TX	RADIO MARIA, INC.	-93.87944	29.95111
WHNZ	1250	AM	TAMPA	FL	CITICASTERS LICENSES, INC.	-82.60944	28.02056
WLSS	930	AM	SARASOTA	FL	SALEM COMMUNICATIONS HOLDING CORPORATION	-82.385	27.35472
KGB	760	AM	SAN DIEGO	CA	IHM LICENSES, LLC	-117.025	32.8425
KFIA	710	AM	CARMICHAEL	CA	NEW INSPIRATION BROADCASTING COMPANY, INC.	-121.3175	38.83278
WTMJ	620	AM	MILWAUKEE	WI	GOOD KARMA BRANDS MILWAUKEE, LLC	-88.06583	42.70778
WTBN	570	AM	PINELLAS PARK	FL	SALEM COMMUNICATIONS HOLDING CORPORATION	-82.52944	28.21111
KGGF	690	AM	COFFEYVILLE	KS	SEK MEDIA, LLC	-95.47833	37.14639
WHO	1040	AM	DES MOINES	IA	CITICASTERS LICENSES, INC.	-93.35028	41.65278
WABC	770	AM	NEW YORK	NY	RED APPLE MEDIA, INC.	-74.06972	40.88056
KWKW	1330	AM	LOS ANGELES	CA	LOTUS LOS ANGELES CORP.	-118.34556	34.01944
WEBY	1330	AM	MILTON	FL	ADX COMMUNICATIONS OF MILTON, LLC	-87.08222	30.51806
KRMG	740	AM	TULSA	OK	COX RADIO, LLC	-96.28583	36.08056
KALL	700	AM	NORTH SALT LAKE CITY	UT	BROADWAY MEDIA LS, LLC	-111.94139	40.89139
KDRI	830	AM	TUCSON	AZ	TUCSON RADIO, LLC	-111.09083	32.44417
WNPL	1460	AM	GOLDEN GATE	FL	FORT MYERS BROADCASTING COMPANY	-81.67583	26.25722
KPMO	1300	AM	MENDOCINO	CA	SOUTHERN OREGON UNIVERSITY	-123.78083	39.3425
WLTT	1180	AM	CAROLINA BEACH	NC	CLI RADIO, LLC	-78.08	34.15083
KMRB	1430	AM	SAN GABRIEL	CA	MULTICULTURAL RADIO BROADCASTING LICENSEE, LLC	-118.08167	34.11889
KNTH	1070	AM	HOUSTON	TX	SALEM COMMUNICATIONS HOLDING CORPORATION	-95.47306	29.9925
KVNU	610	AM	LOGAN	UT	SUN VALLEY RADIO, INC.	-111.935	41.675
KEJY	790	AM	EUREKA	CA	EUREKA BROADCASTING CO., INC.	-124.13889	40.8025
KWRO	630	AM	COQUILLE	OR	BICOASTAL MEDIA LICENSES III, LLC	-124.19833	43.17139
WLTQ	730	AM	CHARLESTON	SC	MEDIATRIX SC, INC.	-80.01556	32.77333
KTKR	760	AM	SAN ANTONIO	TX	IHM LICENSES, LLC	-98.30917	29.44944
KCSP	610	AM	KANSAS CITY	MO	ENTERCOM LICENSE, LLC	-94.62833	38.98417
KMVI	900	AM	KAHULUI	HI	PACIFIC RADIO GROUP, INC.	-156.46694	20.79167
WDEA	1370	AM	ELLSWORTH	ME	TOWNSQUARE MEDIA BANGOR LICENSE, LLC	-68.46972	44.46667
WEPN	1050	AM	NEW YORK	NY	NEW YORK AM RADIO, LLC	-74.05222	40.77667
KFAB	1110	AM	OMAHA	NE	CAPSTAR TX, LLC	-96.00167	41.11972
WHFS	1010	AM	SEFFNER	FL	BEASLEY MEDIA GROUP LICENSES, LLC	-82.25167	27.99028
WBBM	780	AM	CHICAGO	IL	ENTERCOM LICENSE, LLC	-88.07278	41.93417
WINS	1010	AM	NEW YORK	NY	ENTERCOM LICENSE, LLC	-74.10667	40.80389
WJNX	1330	AM	FORT PIERCE	FL	PORT ST. LUCIE BROADCASTERS, INC.	-80.36722	27.45556
KTNO	620	AM	PLANO	TX	INSPIRATION	-96.54139	33.24278
WGAN	560	AM	PORTLAND	ME	SAGA COMMUNICATIONS OF NEW ENGLAND, LLC	-70.31806	43.69
KWMT	540	AM	FORT DODGE	IA	ALPHA 3E LICENSEE LLC	-94.20917	42.49583
KWPN	640	AM	MOORE	OK	RADIO LICENSE HOLDING CBC, LLC	-97.50222	35.28917
KIHC	890	AM	ARROYO GRANDE	CA	RELEVANT RADIO, INC.	-120.52083	35.14556
WZFG	1100	AM	DILWORTH	MN	BAKKEN BEACON MEDIA, LLC	-96.67194	46.76222
WKQA	1110	AM	NORFOLK	VA	BOOTH - COBB MEDIA, LLC	-76.53222	36.94278
KDFD	760	AM	THORNTON	CO	CITICASTERS LICENSES, INC.	-104.93917	40.00917
WJNJ	1320	AM	JACKSONVILLE	FL	NEW COVENANT MINISTRIES, INC.	-81.7425	30.295
WAVS	1170	AM	DAVIE	FL	ALLIANCE BROADCASTING, INC.	-80.2175	26.0775
KUYO	830	AM	EVANSVILLE	WY	WYOMING CHRISTIAN BROADCASTING COMPANY	-106.20361	42.87139
KDIA	1640	AM	VALLEJO	CA	BAYBRIDGE COMMUNICATIONS, L.L.C.	-122.32417	37.89556
WLVP	870	AM	GORHAM	ME	BLUE JEY BROADCASTING CO.	-70.49472	43.66278
WHLI	1100	AM	HEMPSTEAD	NY	CONNOISSEUR MEDIA LICENSES, LLC	-73.61	40.685
KUTR	820	AM	TAYLORSVILLE	UT	TRUTH BROADCASTING CORPORATION	-112.06917	40.33
KSAZ	580	AM	MARANA	AZ	KASA RADIO HOGAR, INC.	-111.28444	32.45306
WDIZ	1320	AM	VENICE	FL	CITICASTERS LICENSES, INC.	-82.39972	27.105
WJNO	1290	AM	WEST PALM BEACH	FL	CLEAR CHANNEL BROADCASTING LICENSES, INC.	-80.20472	26.76389
KFEQ	680	AM	ST. JOSEPH	MO	EAGLE COMMUNICATIONS, INC.	-94.80556	39.82861
KLSD	1360	AM	SAN DIEGO	CA	CITICASTERS LICENSES, INC.	-117.08361	32.73028
KVNS	1700	AM	BROWNSVILLE	TX	CLEAR CHANNEL BROADCASTING LICENSES, INC.	-97.55417	25.94917
KTSA	550	AM	SAN ANTONIO	TX	ALPHA MEDIA LICENSEE LLC	-98.41444	29.49472
KSUB	590	AM	CEDAR CITY	UT	CCR-ST. GEORGE IV, LLC	-113.18111	37.6975
WAOC	1420	AM	ST. AUGUSTINE	FL	PHILLIPS BROADCASTING, LLC	-81.33028	29.85028
KEEL	710	AM	SHREVEPORT	LA	TOWNSQUARE MEDIA SHREVEPORT LICENSE, LLC	-93.85917	32.68333
KTWO	1030	AM	CASPER	WY	TOWNSQUARE MEDIA CASPER LICENSE, LLC	-106.21861	42.84278
WJXY	1200	AM	ATLANTIC BEACH	SC	COLONIAL MEDIA AND ENTERTAINMENT, LLC	-78.78417	33.83667
KVNR	1480	AM	SANTA ANA	CA	ESTRELLA RADIO LICENSE OF CALIFORNIA LLC	-117.91056	33.75167
KGMZ	1550	AM	SAN FRANCISCO	CA	ENTERCOM LICENSE, LLC	-122.27417	37.53306
KFTI	1070	AM	WICHITA	KS	SM-KFTI, LLC	-97.33306	37.76139
KWSW	980	AM	EUREKA	CA	EUREKA BROADCASTING CO., INC.	-124.1275	40.80056
KXMR	710	AM	BISMARCK	ND	IHM LICENSES, LLC	-100.77583	46.66889
WRCA	1330	AM	WATERTOWN	MA	BEASLEY MEDIA GROUP LICENSES, LLC	-71.18917	42.28889
WKY	930	AM	OKLAHOMA CITY	OK	RADIO LICENSE HOLDING CBC, LLC	-97.50667	35.56194
KMTI	650	AM	MANTI	UT	SANPETE COUNTY BROADCASTING COMPANY	-111.63694	39.29417
WEXY	1520	AM	WILTON MANORS	FL	MULTICULTURAL RADIO BROADCASTING LICENSEE, LLC	-80.1575	26.17389
KTMS	990	AM	SANTA BARBARA	CA	RINCON BROADCASTING LS LLC	-119.67583	34.47083
KAAM	770	AM	GARLAND	TX	DJRD BROADCASTING, LLC	-96.57528	33.03278
KBHB	810	AM	STURGIS	SD	HOMESLICE MEDIA GROUP, LLC	-103.42694	44.42333
KLBJ	590	AM	AUSTIN	TX	WATERLOO MEDIA GROUP, L.P.	-97.62972	30.23778
WJXL	1010	AM	JACKSONVILLE BEACH	FL	SEVEN BRIDGES RADIO, LLC	-82.00722	30.29917
WZAN	970	AM	PORTLAND	ME	SAGA COMMUNICATIONS OF NEW ENGLAND, LLC	-70.32167	43.60528
KRIO	910	AM	MCALLEN	TX	RIO GRANDE BIBLE INSTITUTE, INC.	-98.20722	26.29778
KCMO	710	AM	KANSAS CITY	MO	CMP HOUSTON-KC, LLC	-94.49667	39.31889
KNPT	1310	AM	NEWPORT	OR	YAQUINA BAY COMMUNICATIONS, INC.	-123.9875	44.62778
KFAQ	1170	AM	TULSA	OK	GRIFFIN LICENSING, L.L.C.	-95.80722	36.14639
WBRD	1420	AM	PALMETTO	FL	BIRACH BROADCASTING CORPORATION	-82.57444	27.545
KGOE	1480	AM	EUREKA	CA	BICOASTAL MEDIA LICENSES II, LLC	-124.20139	40.74111
WOI	640	AM	AMES	IA	IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY	-93.69472	41.99972
KFYI	550	AM	PHOENIX	AZ	AMFM RADIO LICENSES, L.L.C.	-112.00611	33.38806
WXKS	1200	AM	NEWTON	MA	CAPSTAR TX, LLC	-71.18917	42.28889
KTRS	550	AM	ST. LOUIS	MO	KTRS-AM LICENSE, L.L.C.	-90.12861	38.6625
KVJY	840	AM	PHARR	TX	DAIJ MEDIA, LLC	-98.10444	26.31667
WPSL	1590	AM	PORT ST. LUCIE	FL	PORT ST LUCIE BROADCASTERS, INC.	-80.30722	27.30778
KNML	610	AM	ALBUQUERQUE	NM	RADIO LICENSE HOLDING CBC, LLC	-106.65894	35.03233
KLTX	1390	AM	LONG BEACH	CA	HI-FAVOR BROADCASTING, LLC	-118.18417	33.89167
WAXY	790	AM	SOUTH MIAMI	FL	ENTERCOM LICENSE, LLC	-80.63944	25.75667
KMZQ	670	AM	LAS VEGAS	NV	KEMP COMMUNICATIONS, INC.	-115.35139	36.38444
WNOG	1270	AM	NAPLES	FL	SUN BROADCASTING INC	-81.67583	26.25722
WGH	1310	AM	NEWPORT NEWS	VA	MHR LICENSE LLC	-76.44833	37.04528
KHKA	1500	AM	HONOLULU	HI	BLOW UP, LLC	-157.89361	21.335
WGIG	1440	AM	BRUNSWICK	GA	AMFM RADIO LICENSES, L.L.C.	-81.53722	31.16861
KBMB	710	AM	BLACK CANYON CITY	AZ	ENTRAVISION HOLDINGS, LLC	-112.15417	34.08
WNYM	970	AM	HACKENSACK	NJ	SALEM MEDIA OF NEW YORK, LLC	-74.02833	40.91111
KFNW	1200	AM	WEST FARGO	ND	UNIVERSITY OF NORTHWESTERN-ST. PAUL	-96.88306	46.80167
WTCM	580	AM	TRAVERSE CITY	MI	WTCM RADIO, INC.	-85.705	44.72167
KMMQ	1020	AM	PLATTSMOUTH	NE	NRG LICENSE SUB, LLC	-95.71278	41.08667
KEYH	850	AM	HOUSTON	TX	ESTRELLA RADIO LICENSE OF HOUSTON LLC	-95.67194	29.65528
KGBC	1540	AM	GALVESTON	TX	SIGA BROADCASTING CORPORATION	-94.80528	29.31528
KHJ	930	AM	LOS ANGELES	CA	RELEVANT RADIO, INC.	-118.25667	34.08556
KLAT	1010	AM	HOUSTON	TX	TICHENOR LICENSE CORPORATION	-95.29028	29.89639
KLEB	1600	AM	GOLDEN MEADOW	LA	COASTAL BROADCASTING OF LAROSE, INC.	-90.26694	29.39528
KPRC	950	AM	HOUSTON	TX	IHM LICENSES, LLC	-95.27861	29.80528
WLZR	1560	AM	MELBOURNE	FL	CUMULUS LICENSING LLC	-80.70806	28.12778
WNYH	740	AM	HUNTINGTON	NY	WIN RADIO BROADCASTING CORPORATION	-73.43778	40.85111
WLVJ	1020	AM	BOYNTON BEACH	FL	ACTUALIDAD LICENSEE 1020AM, LLC	-80.20306	26.47389
KTAR	620	AM	PHOENIX	AZ	BONNEVILLE INTERNATIONAL CORPORATION	-112.00167	33.47889
KHCM	880	AM	HONOLULU	HI	SALEM MEDIA OF HAWAII, INC.	-157.86361	21.29472
KGYN	1210	AM	GUYMON	OK	STECKLINE COMMUNICATIONS, INC.	-101.38278	36.67611
KTCK	1310	AM	DALLAS	TX	RADIO LICENSE HOLDING SRC LLC	-96.94028	32.94472
WNRP	1620	AM	GULF BREEZE	FL	ADX COMMUNICATIONS OF ESCAMBIA	-87.22028	30.43667
WGUL	860	AM	DUNEDIN	FL	SALEM COMMUNICATIONS HOLDING CORPORATION	-82.70028	27.99861
KSAH	720	AM	UNIVERSAL CITY	TX	ALPHA MEDIA LICENSEE LLC	-98.1775	29.53083
KCRS	550	AM	MIDLAND	TX	ICA RADIO, LTD.	-102.02944	32.06944
WWMI	1380	AM	ST. PETERSBURG	FL	RELEVANT RADIO, INC.	-82.6175	27.87083
KSRO	1350	AM	SANTA ROSA	CA	AMATURO SONOMA MEDIA GROUP, LLC	-122.7475	38.43944
KCJB	910	AM	MINOT	ND	IHM LICENSES, LLC	-101.34833	48.2025
WADB	1310	AM	ASBURY PARK	NJ	TOWNSQUARE MEDIA MONMOUTH-OCEAN LICENSE, LLC	-74.09083	40.22972
KRUZ	103.3	FM	SANTA BARBARA	CA	CUMULUS LICENSING LLC	-119.95986	34.52469
KXXX	790	AM	COLBY	KS	ROCKING M MEDIA, LLC	-101.00167	39.39306
WMCA	570	AM	NEW YORK	NY	SALEM MEDIA OF MASSACHUSETTS, LLC	-74.10417	40.75278
WRZN	720	AM	HERNANDO	FL	MARC RADIO GAINESVILLE, LLC	-82.3725	28.9225
KTIL	1590	AM	NETARTS	OR	ALEXANDRA COMMUNICATIONS, INC.	-123.87194	45.45694
KVTT	1110	AM	MINERAL WELLS	TX	DECATUR MEDIA LAND, LLC	-97.73556	33.33028
KALI	900	AM	WEST COVINA	CA	MULTICULTURAL RADIO BROADCASTING LICENSEE, LLC	-117.72639	34.03
KBRW	680	AM	BARROW	AK	SILAKKUAGVIK COMMUNICATIONS, INC.	-156.52556	71.25667
WNYC	820	AM	NEW YORK	NY	NEW YORK PUBLIC RADIO	-74.10417	40.75278
KSDN	930	AM	ABERDEEN	SD	PRAIRIE WINDS BROADCASTING, INC.	-98.5175	45.42472
KMOX	1120	AM	ST. LOUIS	MO	ENTERCOM LICENSE, LLC	-90.055	38.7225
KTGE	1570	AM	SALINAS	CA	WOLFHOUSE RADIO GROUP, INC.	-121.54139	36.66056
WCGA	1100	AM	WOODBINE	GA	COX BROADCAST GROUP, INC.	-81.74639	31.04722
