hex,count
84291e9ffffffff,9
84484e3ffffffff,8
8429113ffffffff,9
8448433ffffffff,1
8429139ffffffff,20
8429a01ffffffff,46
8429365ffffffff,3
8429a4dffffffff,28
84484cbffffffff,4
8429121ffffffff,45
8429147ffffffff,20
8429327ffffffff,10
842916dffffffff,32
844848dffffffff,10
8429a5bffffffff,35
84484b3ffffffff,33
8429025ffffffff,5
84484d9ffffffff,3
8429acdffffffff,12
8429109ffffffff,19
8429155ffffffff,14
8429a1dffffffff,55
8429335ffffffff,9
8429a43ffffffff,43
844849bffffffff,14
84291c7ffffffff,8
84484c1ffffffff,4
84291edffffffff,9
84484e7ffffffff,6
8429117ffffffff,10
842913dffffffff,28
8429a05ffffffff,17
8429163ffffffff,30
8448483ffffffff,20
84484a9ffffffff,11
8429a51ffffffff,47
8429125ffffffff,62
842914bffffffff,10
8429a13ffffffff,21
842932bffffffff,7
8429a39ffffffff,29
8448491ffffffff,17
84484b7ffffffff,32
84484ddffffffff,4
842910dffffffff,24
8429133ffffffff,9
8429159ffffffff,8
8429339ffffffff,4
8429a47ffffffff,31
84484c5ffffffff,3
84484ebffffffff,6
842911bffffffff,7
844843bffffffff,2
8429141ffffffff,15
8429321ffffffff,9
8429a09ffffffff,28
8429167ffffffff,32
8448487ffffffff,19
84484adffffffff,5
8429a55ffffffff,57
84484d3ffffffff,9
8429103ffffffff,20
8429129ffffffff,34
8429a17ffffffff,24
8429a3dffffffff,15
8448495ffffffff,20
84291c1ffffffff,5
84484bbffffffff,26
842902dffffffff,4
84484e1ffffffff,5
8429111ffffffff,11
8448431ffffffff,1
842915dffffffff,10
842933dffffffff,7
84484a3ffffffff,21
8429a4bffffffff,47
8429145ffffffff,21
8429a0dffffffff,21
8429325ffffffff,10
842916bffffffff,24
844848bffffffff,12
84484b1ffffffff,27
8429a59ffffffff,33
84484d7ffffffff,13
84486b7ffffffff,3
8429107ffffffff,26
842912dffffffff,41
8429153ffffffff,8
8429a1bffffffff,37
8429333ffffffff,5
8429a41ffffffff,38
8448499ffffffff,13
84291c5ffffffff,7
84291ebffffffff,10
84484e5ffffffff,2
8429115ffffffff,13
842913bffffffff,11
8429a03ffffffff,40
8429161ffffffff,31
8448481ffffffff,13
8429367ffffffff,4
84484a7ffffffff,11
84484cdffffffff,2
8429065ffffffff,5
8429123ffffffff,33
84458d5ffffffff,1
8444805ffffffff,13
8444829ffffffff,9
844432dffffffff,1
844589bffffffff,2
8444949ffffffff,4
8444957ffffffff,3
8444821ffffffff,7
8444325ffffffff,1
8445893ffffffff,5
84458dbffffffff,1
8444149ffffffff,3
844491dffffffff,2
844483dffffffff,7
844588bffffffff,1
84458d3ffffffff,1
8444141ffffffff,6
8444803ffffffff,13
844495dffffffff,5
8444827ffffffff,6
8445899ffffffff,1
8444955ffffffff,3
8444323ffffffff,2
8445891ffffffff,1
84458d9ffffffff,1
8444147ffffffff,6
844491bffffffff,5
844482dffffffff,9
84458c3ffffffff,1
8445889ffffffff,1
84458d1ffffffff,1
844495bffffffff,10
8444825ffffffff,6
8444329ffffffff,1
8445897ffffffff,3
844414dffffffff,5
8445881ffffffff,1
844490bffffffff,2
8444953ffffffff,6
844481dffffffff,16
8444321ffffffff,1
84458d7ffffffff,1
8444145ffffffff,6
8444169ffffffff,11
8444919ffffffff,3
8444807ffffffff,10
844482bffffffff,8
844589dffffffff,1
844494bffffffff,4
8444823ffffffff,6
8444327ffffffff,2
8445895ffffffff,1
84458ddffffffff,1
8444943ffffffff,3
84458c7ffffffff,1
8444909ffffffff,2
8444951ffffffff,5
844588dffffffff,1
844841bffffffff,1
8429361ffffffff,2
8429305ffffffff,2
84486a3ffffffff,1
8429363ffffffff,2
84486a7ffffffff,1
842933bffffffff,3
842930dffffffff,1
84484c9ffffffff,2
8448411ffffffff,1
842936dffffffff,2
84486b1ffffffff,2
84486b3ffffffff,2
84486b5ffffffff,2
840d8c1ffffffff,1
840c127ffffffff,2
840ca4dffffffff,1
840ca1bffffffff,2
840dab3ffffffff,1
840c165ffffffff,2
840c021ffffffff,2
840ca59ffffffff,2
840d89bffffffff,2
840cac9ffffffff,2
840c101ffffffff,2
840c325ffffffff,1
840d8d9ffffffff,1
840d8a7ffffffff,1
840c10dffffffff,2
840ca01ffffffff,1
840d8b3ffffffff,1
840cae1ffffffff,1
840c119ffffffff,3
840d881ffffffff,2
840ca0dffffffff,1
840c157ffffffff,2
840caedffffffff,1
840c125ffffffff,2
840ca4bffffffff,1
840d88dffffffff,2
840ca19ffffffff,2
840dab1ffffffff,1
840c163ffffffff,2
840ca89ffffffff,2
840d8cbffffffff,1
840c131ffffffff,2
840ca57ffffffff,2
840d899ffffffff,1
840cac7ffffffff,2
840d8d7ffffffff,1
840c13dffffffff,2
840d8a5ffffffff,1
840c361ffffffff,1
840c10bffffffff,2
840d8e3ffffffff,2
840da97ffffffff,1
840d8b1ffffffff,1
840c36dffffffff,1
840c117ffffffff,2
840ca0bffffffff,1
840c155ffffffff,2
840d8bdffffffff,1
840caebffffffff,1
840c123ffffffff,2
840ca49ffffffff,1
840d88bffffffff,1
840ca17ffffffff,1
840c161ffffffff,2
840d8c9ffffffff,1
840ca55ffffffff,2
840d897ffffffff,2
840cac5ffffffff,2
840dabbffffffff,1
840c16dffffffff,1
840c321ffffffff,1
840d8d5ffffffff,1
840c13bffffffff,2
840d8a3ffffffff,1
840c109ffffffff,2
840c32dffffffff,1
840d8e1ffffffff,1
840c147ffffffff,2
840c115ffffffff,2
840ca3bffffffff,1
840ca09ffffffff,1
840c153ffffffff,3
840d8bbffffffff,1
840cae9ffffffff,1
840c121ffffffff,2
840ca47ffffffff,1
840d889ffffffff,1
840d99bffffffff,1
840ca15ffffffff,1
840d8c7ffffffff,1
840c12dffffffff,2
840ca53ffffffff,2
840d895ffffffff,2
840cac3ffffffff,2
840c16bffffffff,2
840c027ffffffff,3
840d8d3ffffffff,1
840c139ffffffff,2
840d8a1ffffffff,1
840c107ffffffff,2
840c145ffffffff,2
840ca6bffffffff,1
840d8adffffffff,1
840c113ffffffff,2
840ca39ffffffff,1
