name,longitude,latitude,population
Resistencia,-58.98389,-27.46056,387158
Reconquista,-59.65,-29.15,90184
Quilmes,-58.26374,-34.72904,230000
Puerto Rico,-55.02402,-26.79598,17491
Puerto Iguazu,-54.57355,-25.59912,32038
Puerto Esperanza,-54.61356,-26.02267,15579
Puerto Eldorado,-54.69463,-26.40843,54189
Posadas,-55.89608,-27.36708,323739
Pontevedra,-58.70072,-34.74785,33515
Pirane,-59.10879,-25.73239,19124
Pilar,-58.9142,-34.45866,226517
Paso de los Libres,-57.08771,-29.71251,43805
Obera,-55.11994,-27.48706,56528
Necochea,-58.73961,-38.5545,80478
Muniz,-58.70739,-34.55622,26221
Moron,-58.61956,-34.6509,319934
Monte Caseros,-57.63626,-30.25359,24671
Montecarlo,-54.757,-26.5662,22229
Merlo,-58.72927,-34.66627,244168
Mercedes,-59.43068,-34.65145,52949
Mercedes,-58.07519,-29.18416,30649
Mar del Plata,-57.5562,-38.00042,553935
Lujan,-59.105,-34.57028,81749
Los Polvorines,-58.70596,-34.50316,53354
La Plata,-57.95453,-34.92145,694167
La Paz,-59.64517,-30.74179,24716
Jardin America,-55.22698,-27.04346,24905
Hurlingham,-58.62904,-34.5904,60000
Gualeguaychu,-58.51722,-33.00937,78676
Gualeguay,-59.30966,-33.14156,33120
Goya,-59.26343,-29.13995,70245
Gobernador Virasora,-56.03333,-28.05,28756
General Pacheco,-58.64312,-34.45256,43287
General Jose de San Martin,-59.34158,-26.53743,31758
Garupa,-55.82921,-27.48171,28814
Formosa,-58.17313,-26.18489,221383
Fontana,-59.02392,-27.41813,26745
Federal,-58.78326,-30.95465,16333
Esquina,-59.5289,-30.01476,26399
El Soberbio,-54.19877,-27.29847,19571
Don Torcuato,-58.62729,-34.49459,64867
Dolores,-57.67918,-36.31321,25190
Curuzu Cuatia,-58.0546,-29.79171,36390
Corrientes,-58.8344,-27.46784,339067
Concordia,-58.02089,-31.39296,145210
Concepcion del Uruguay,-58.23217,-32.48463,67895
Colegiales,-58.44924,-34.57365,57000
Chajari,-57.97962,-30.75048,30655
Campana,-58.95919,-34.16327,81612
Buenos Aires,-58.37723,-34.61315,13076300
Boedo,-58.41667,-34.63333,48231
Berazategui,-58.21278,-34.76531,167498
Belgrano,-58.45829,-34.5627,138942
Barranqueras,-58.93925,-27.48132,50823
Barracas,-58.38341,-34.64966,77474
Balcarce,-58.25522,-37.84616,38823
Azul,-59.85854,-36.77698,53941
Avellaneda,-59.65834,-29.11761,23341
Aristobulo del Valle,-54.89626,-27.09625,20683
Zapala,-70.05442,-38.89916,31534
Yerba Buena,-65.31667,-26.81667,50783
Villa Regina,-67.06667,-39.1,31209
