name,longitude,latitude,population
Taitou,118.63392,37.02733,60354
Yingli,118.81029,37.065,57091
Siwei,114.15328,38.01657,17200
Ligang,106.43043,38.64643,24165
Lingwu,106.34017,38.10191,52863
Ningdong,106.58502,38.16143,48587
Wangyuan,106.272,38.38408,42022
Minning,105.97068,38.2487,24696
Lijun,106.12,38.18583,27723
Shizuishan,106.3892,38.98082,472472
Heshan,119.51009,35.52336,28784
Xihu,119.23607,35.44934,29978
Shangchong,108.65785,26.25318,21425
Sankeshu,108.06585,26.5637,46402
Hechi,108.08376,24.69285,330131
Xingdaohu,109.13207,21.71479,24048
Donghui,99.8001,22.44052,15380
Fazhanhe,100.1731,22.33424,15483
Fubang,99.80286,22.90418,21828
Huimin,100.0829,22.26138,17303
Mujia,99.63453,22.991,16180
Nanling,99.99563,22.71121,24059
Nuofu,99.69957,22.22001,18529
Nuozhadu,100.26925,22.57817,29703
Zhutang,99.80715,22.7152,35766
Menghuan,98.58375,24.43532,99970
Fengping,98.5177,24.39735,69586
Nongzhang,97.88218,24.61601,45270
Taiping,97.85262,24.66116,30032
Beihai,98.57746,25.08005,22668
Hehua,98.39368,24.97024,24814
Mangbang,98.6701,24.9319,39273
Mazhan,98.48403,25.21137,27373
Mingguang,98.54153,25.49314,40221
Puchuan,98.57007,24.7031,27049
Wuhe,98.66783,24.85906,32858
Xinhua,98.48296,24.75252,16336
Miaojie,100.27983,25.31232,62540
Yongjian,100.21244,25.42543,53970
Yousuo,100.06771,26.02527,53233
Sanchuan,100.65894,26.75041,56345
Chenghai,100.67862,26.46172,39766
Shunzhou,100.55426,26.6212,32074
Jiuhe,99.99185,26.76269,23680
Xinyingpan,100.92005,27.16757,21008
Shilongba,101.36325,26.57927,20074
Hongqiao,100.79701,27.42977,20060
Wanzhou,108.39586,30.76451,723215
Zhuyi,109.38562,31.02543,55627
Yintai,109.09702,35.11524,217509
Jifeng,105.65786,33.65526,16273
Changdao,105.33651,34.20488,23940
Liufeng,105.38609,34.73453,36718
Xiejiawan,105.17148,34.81213,22066
Guojia,105.55838,34.97276,37008
Hongbao,106.06026,34.75191,20868
Dayang,106.07205,34.98975,21846
Maguan,106.03324,35.06615,22032
Muhe,106.13488,35.02337,16592
Qingyang,107.64455,35.70976,377528
Quankou,101.7393,37.35222,18308
Zipaquira,-74.00481,5.02208,91235
Zarzal,-76.0715,4.39462,28761
Zaragoza,-74.86919,7.48971,18795
Yumbo,-76.49146,3.58234,71436
Yopal,-72.39586,5.33775,61029
Yarumal,-75.41738,6.96321,22368
Viterbo,-75.87159,5.06242,15216
Villeta,-74.47226,5.00886,20689
Villavicencio,-73.62664,4.142,321717
Villa del Rosario,-72.47417,7.83389,64951
Villanueva,-72.97901,10.60768,18699
Villanueva,-71.96667,5.28333,20032
Villamaria,-75.51474,5.04565,35302
Valledupar,-73.25322,10.46314,308237
Urrao,-76.1342,6.31696,18846
Villa de San Diego de Ubate,-73.81575,5.30933,20485
Turbo,-76.72822,8.09263,50508
Turbaco,-75.41137,10.32944,56171
Tuquerres,-77.61858,1.08647,20184
Tunja,-73.36778,5.53528,117479
Tumaco,-78.79275,1.79112,86713
Tulua,-76.19536,4.08466,165501
Santiago de Tolu,-75.58139,9.52392,27390
Tierralta,-76.05917,8.17361,26242
Tame,-71.73618,6.46065,29099
Sucre,-74.72084,8.81136,23210
Sonson,-75.31069,5.71062,17232
Soledad,-74.76459,10.91843,342556
Sogamoso,-72.93391,5.71434,126551
Socorro,-73.26022,6.46838,17752
Soacha,-74.21682,4.57937,313945
Sincelejo,-75.39778,9.30472,261187
San Luis de Since,-75.14675,9.24391,30768
Sibate,-74.25957,4.49154,23208
Sevilla,-75.93085,4.26425,41612
Segovia,-74.6989,7.07993,39938
Santuario,-75.26417,6.13833,17722
Santo Tomas,-74.75451,10.75773,25847
Santa Rosa de Cabal,-75.62139,4.86806,57928
Santander de Quilichao,-76.48494,3.00945,40798
Santa Marta,-74.19904,11.24079,431781
Santa Lucia,-74.96017,10.3242,15760
San Onofre,-75.52626,9.73586,32957
San Martin,-73.69957,3.69637,16273
San Marcos,-75.12809,8.65972,36549
San Juan Nepomuceno,-75.08198,9.95157,29619
San Juan del Cesar,-73.00314,10.77107,26848
San Jacinto,-75.1217,9.82767,20265
San Gil,-73.13637,6.55952,33592
San Carlos,-75.69947,8.79577,24615
San Carlos,-74.77316,7.79177,22678
San Benito Abad,-75.02709,8.92901,18181
San Andres,-81.70636,12.58317,58257
Sampues,-75.38167,9.18361,21204
Salamina,-75.48749,5.40733,18076
Sahagun,-75.44275,8.94617,59188
Sabaneta,-75.61657,6.15153,34172
Sabanalarga,-74.92214,10.63072,68535
Sabanagrande,-74.76059,10.79115,24880
Roldanillo,-76.15457,4.41256,27561
Riosucio,-75.70318,5.42164,18950
Rionegro,-75.37371,6.15515,62291
Riohacha,-72.90722,11.54444,92431
Repelon,-75.12448,10.4952,18685
Quimbaya,-75.76278,4.62306,31391
Quibdo,-76.65835,5.69188,75104
Puerto Tejada,-76.41668,3.23114,53674
Puerto Santander,-72.4063,8.36361,16275
Puerto Lopez,-72.95647,4.09912,16678
Puerto Colombia,-74.95472,10.98778,26227
Puerto Boyaca,-74.58516,5.976,27310
Puerto Berrio,-74.40326,6.49156,33983
Puerto Asis,-76.49571,0.50514,29782
Pradera,-76.24472,3.42111,44630
Popayan,-76.61316,2.43823,258653
Planeta Rica,-75.58508,8.4115,37297
Pivijay,-74.61621,10.46167,33492
Pitalito,-76.05071,1.85371,53685
Piedecuesta,-73.04953,6.98789,86387
Pereira,-75.69611,4.81333,440118
Payande,-75.09667,4.2975,37496
Patia,-77.05273,2.06895,20807
Pasto,-77.28111,1.21361,382236
Pamplona,-72.64795,7.37565,53587
Palmira,-76.30361,3.53944,247986
Palmar de Varela,-74.75443,10.74055,28084
Belalcazar,-75.97269,2.64644,31800
Padua,-75.14001,5.13429,19311
Pacho,-74.15977,5.13278,16698
Ocana,-73.35604,8.23773,83511
Neiva,-75.28189,2.9273,352855
Mosquera,-74.23021,4.70592,27005
Morales,-73.86884,8.2752,20375
Monteria,-75.88143,8.74798,272420
Montenegro,-75.75111,4.56639,36499
Montelibano,-75.4202,7.97917,85000
Mompos,-74.42667,9.24194,30861
Mocoa,-76.65208,1.15284,22035
Melgar,-74.64075,4.20475,25980
Medellin,-75.56359,6.25184,1999979
San Sebastian de Mariquita,-74.89295,5.19889,23104
Marinilla,-75.33621,6.17358,24171
Maria la Baja,-75.30155,9.9832,23401
Manzanares,-75.15403,5.25397,16278
Manizales,-75.51738,5.06889,357814
Malambo,-74.77386,10.85953,101534
Malaga,-72.73233,6.69903,18739
Maicao,-72.2395,11.37837,130348
Magangue,-74.75467,9.24202,100313
Madrid,-74.26419,4.73245,50437
Los Patios,-72.5037,7.83793,58661
Lorica,-75.8135,9.23648,40605
Libano,-75.06232,4.9218,28211
Leticia,-69.94056,-4.21528,29666
Lerida,-74.90977,4.86242,20069
La Virginia,-75.8825,4.89972,33835
La Union,-76.10318,4.53282,23459
La Union,-77.13152,1.6045,15061
La Tebaida,-75.78746,4.45265,27098
La Plata,-75.89232,2.39341,19275
La Mesa,-73.91667,5.26667,26699
La Jagua de Ibirico,-73.33405,9.56228,18555
La Estrella,-75.64317,6.15769,49386
La Dorada,-74.66311,5.44783,81950
La Ceja,-75.43333,6.03131,36584
Jamundi,-76.53499,3.26074,44833
Itaguei,-75.59913,6.18461,281853
Ipiales,-77.63966,0.82501,77729
Ibague,-75.23222,4.43889,421685
Honda,-74.73584,5.20856,28158
Guacari,-76.33292,3.76383,19637
Granada,-73.70687,3.54625,32365
Giron,-73.16981,7.0682,108466
Girardot City,-74.80754,4.30079,130289
Garzon,-75.62777,2.19593,29451
Galapa,-74.886,10.89686,19732
Fusagasuga,-74.36378,4.33646,88820
Funza,-74.21195,4.71638,54421
Fundacion,-74.18504,10.52066,59175
Fresno,-75.03624,5.15264,17668
Fonseca,-72.8487,10.88606,35754
Floridablanca,-73.08644,7.06222,252267
Florida,-76.2348,3.3223,47173
Florencia,-75.60623,1.61438,130337
Flandes,-74.81612,4.29005,20919
Facatativa,-74.35453,4.81367,94611
Espinal,-74.88429,4.14924,56213
Envigado,-75.59174,6.17591,163007
El Reten,-74.26824,10.61135,15901
El Copey,-73.9614,10.15031,18136
El Charco,-78.10972,2.48075,28673
El Cerrito,-76.31372,3.68549,38390
El Carmen de Bolivar,-75.12023,9.7174,47957
El Banco,-73.97581,9.00114,54522
El Bagre,-74.80951,7.60347,40798
Duitama,-73.03408,5.8245,92040
Dosquebradas,-75.66727,4.83916,179583
Darien,-76.48481,3.93135,15763
Curumani,-73.54274,9.19992,22084
Cumaribo,-69.79897,4.44552,23990
Cucuta,-72.50782,7.89391,721398
Corozal,-75.2933,9.31847,39800
Corinto,-76.26275,3.17301,16579
Copacabana,-75.50888,6.34633,49169
Circasia,-75.63583,4.61889,20113
Cienaga de Oro,-75.62028,8.87443,17623
Cienaga,-74.24765,11.00703,88311
Chiriguana,-73.60313,9.36238,15181
Chiquinquira,-73.81748,5.61637,45294
Chinu,-75.39812,9.10569,19596
Chinchina,-75.60361,4.9825,68512
Chimichagua,-73.81228,9.25778,16746
Chigorodo,-76.68106,7.66638,48443
Chia,-74.05866,4.85876,64569
Chaparral,-75.48316,3.72315,19982
Cerete,-75.79052,8.88479,55513
Caucasia,-75.19349,7.98654,58034
Cartago,-75.91167,4.74639,134827
Cartagena,-75.51444,10.39972,952024
Carmen de Viboral,-75.33509,6.08236,21152
Candelaria,-76.34819,3.40671,23989
Campo de la Cruz,-74.88356,10.37808,22803
Campoalegre,-75.32311,2.68489,22568
Cali,-76.5225,3.43722,2392877
Caldas,-75.63569,6.09106,65565
Calarca,-75.64091,4.52949,62170
Cajica,-74.02799,4.91857,24999
Caicedonia,-75.82665,4.3324,32417
Guadalajara de Buga,-76.29783,3.90089,118004
Buenaventura,-77.03116,3.8801,240387
Buenaventura,-77,3.58333,24842
Bucaramanga,-73.1198,7.12539,571820
Bogota,-74.08175,4.60971,7674366
Bello,-75.55795,6.33732,392939
Belen de Umbria,-75.86865,5.20087,15698
Barranquilla,-74.78132,10.96854,1380425
Barrancas,-72.79456,10.95672,17350
Barrancabermeja,-73.85472,7.06528,191403
Barbosa,-75.33136,6.43809,16707
Barbosa,-73.61507,5.93168,20372
Baranoa,-74.9164,10.79408,44078
Ayapel,-75.13982,8.31372,22602
Armenia,-75.68111,4.53389,315328
Arjona,-75.34389,10.25444,50405
Ariguani,-74,10.25,26246
Arauca,-70.75908,7.08471,69264
Aracataca,-74.18983,10.59181,27704
Apartado,-76.62587,7.88299,86438
Anserma,-75.79111,5.33278,25242
Andes,-75.87877,5.6561,16419
Andalucia,-76.16641,4.17061,17432
Anaime,-75.445,4.39639,25715
Albania,-72.59238,11.16099,15783
Aguazul,-72.54706,5.17282,15669
Aguadas,-75.45624,5.61161,19727
Aguachica,-73.6166,8.30844,73360
Acacias,-73.75797,3.98695,40627
Morales,-76.62791,2.75446,29617
Carepa,-76.65255,7.75849,20627
Ciudad Bolivar,-76.02528,5.85389,16225
Agustin Codazzi,-73.23558,10.03672,51478
Plato,-74.78244,9.79029,48606
San Jose del Guaviare,-72.64591,2.57286,22136
Piendamo,-76.53055,2.63918,44000
Turrialba,-83.68361,9.90371,28955
Tejar,-84.23219,9.74301,22433
Siquirres,-83.50659,10.09748,18231
San Vicente,-84.0494,9.96194,34447
San Rafael Arriba,-84.07479,9.87648,15051
San Rafael Abajo,-84.29008,9.831,27419
San Rafael,-84.13537,9.92826,25410
San Pedro,-84.05074,9.92829,27477
San Pablo,-84.09656,9.99559,21662
San Miguel,-84.06084,9.87121,28827
San Juan de Dios,-84.08438,9.87812,15469
San Juan,-84.07876,9.96188,26047
San Jose,-85.13572,10.95192,31430
San Jose,-84.08333,9.93333,335007
San Isidro,-83.69713,9.3674,34877
San Francisco,-84.12742,9.9938,55923
San Felipe,-84.1062,9.90444,24985
San Diego,-84.0017,9.90028,16991
Quesada,-84.432,10.3266,27310
Purral,-84.03209,9.95689,30034
Puntarenas,-84.83836,9.97625,35650
Limon,-83.03596,9.99074,63081
Patarra,-84.03551,9.88059,23983
Paraiso,-83.86557,9.83832,39702
Nicoya,-85.45093,10.15038,15313
Mercedes Norte,-84.13018,10.00611,26007
Liberia,-85.43772,10.63504,45380
Ipis,-84.0182,9.96548,26669
Heredia,-84.11651,10.00236,21947
Guapiles,-83.78483,10.21682,19092
Guadalupe,-84.05665,9.94805,26005
Esparza,-84.66628,9.99197,15575
Curridabat,-84.03595,9.9139,34586
Colima,-84.08235,9.95532,15875
Chacarita,-84.77892,9.98424,26354
Cartago,-83.91944,9.86444,26594
Canas,-85.09825,10.43105,20306
Calle Blancos,-84.0669,9.9453,20710
Aserri,-84.09266,9.86142,25874
Alajuela,-84.21163,10.01625,47494
San Vicente de Moravia,-84.0488,9.96164,34447
Yara,-76.95132,20.27465,28944
Yaguajay,-79.23567,22.32691,42218
Vinales,-83.70694,22.61892,27129
Vertientes,-78.14979,21.25817,29704
Venezuela,-78.79336,21.73748,16601
Varadero,-81.24441,23.15678,20000
San German,-76.13364,20.60009,43892
Union de Reyes,-81.53617,22.79505,33646
Trinidad,-79.98467,21.80224,60206
Sibanicu,-77.52561,21.23631,16856
Santo Domingo,-80.24261,22.58677,45476
Santiago de las Vegas,-82.38694,22.97,35241
Santiago de Cuba,-75.82667,20.02083,555865
Santa Cruz del Sur,-77.99816,20.71633,34601
Santa Cruz del Norte,-81.92556,23.15424,18402
Santa Clara,-79.96472,22.40694,250512
San Miguel del Padron,-82.32669,23.09544,159273
San Luis,-75.85031,20.18809,67293
San Jose de las Lajas,-82.15111,22.96139,54847
Sancti Spiritus,-79.4425,21.92972,127069
San Cristobal,-83.05647,22.71658,59579
San Antonio de los Banos,-82.50099,22.89018,42724
Sagua la Grande,-80.07556,22.80667,62073
Sagua de Tanamo,-75.24116,20.58269,18282
Rodas,-80.55596,22.34184,19212
Rio Guayabal de Yateras,-75.01667,20.36667,25753
Rio Cauto,-76.91673,20.55971,23737
Remedios,-79.54548,22.49502,34108
Regla,-82.33194,23.125,44431
Ranchuelo,-80.15046,22.37266,43695
Puerto Padre,-76.60358,21.19517,76838
Primero de Enero,-78.4313,21.94501,17934
Placetas,-79.6544,22.31184,55408
Pinar del Rio,-83.69667,22.41667,186990
Perico,-81.0183,22.76987,24073
Pedro Betancourt,-81.28963,22.72709,26761
Palmira,-80.3911,22.24126,23078
Palma Soriano,-75.99362,20.2113,102826
Nuevitas,-77.26504,21.54585,54022
Nueva Gerona,-82.80556,21.88667,20264
Niquero,-77.58089,20.04698,18771
Moron,-78.62667,22.10774,66060
Moa,-74.95075,20.65776,92852
Minas de Matahambre,-83.94551,22.58691,34419
Minas,-77.61033,21.48802,20863
Media Luna,-77.43532,20.14298,16713
Matanzas,-81.5775,23.04111,146733
Mariel,-82.75376,22.98931,28987
Manzanillo,-77.12126,20.34173,128188
Manicaragua,-79.97867,22.15021,41532
Maisi,-74.15181,20.24673,28276
Madruga,-81.85639,22.91,33798
Los Palacios,-83.24671,22.58882,25703
Limonar,-81.41059,22.95035,25421
Las Tunas,-76.95111,20.96167,203684
La Sierpe,-79.26832,21.77241,16937
La Salud,-82.42328,22.87199,28796
Lajas,-80.2931,22.41479,22602
Havana,-82.38304,23.13302,2163824
Jovellanos,-81.19127,22.80375,47164
Jobabo,-76.29944,20.96917,17804
Jobabo,-77.28194,20.90748,49403
Jiguani,-76.42741,20.36785,41106
Jesus Menendez,-76.47919,21.16139,51002
Jatibonico,-79.16906,21.94333,19644
Jaruco,-82.00919,23.04419,20207
Jaguey Grande,-81.12861,22.52694,54363
Holguin,-76.26306,20.88722,319102
Guisa,-76.5393,20.25494,18408
Guira de Melena,-82.50667,22.79613,69879
Gueines,-82.02641,22.83727,68935
Guantanamo,-75.20917,20.14444,272801
Guane,-84.08484,22.20179,16548
Guanajay,-82.6875,22.92639,25258
Guanabacoa,-82.30067,23.12518,112964
Guaimaro,-77.3499,21.05222,39358
Gibara,-76.13145,21.10988,27603
Fomento,-79.72141,22.10475,19991
Florida,-78.22579,21.52536,63007
Florencia,-78.97328,22.1461,19811
Esmeralda,-78.11725,21.85139,20274
Encrucijada,-79.86603,22.61802,26155
Cumanayagua,-80.20354,22.15247,38687
Cueto,-75.92967,20.64855,26527
Cruces,-80.27021,22.34203,24906
Corralillo,-80.58556,22.98212,51881
Contramaestre,-76.24511,20.29879,70438
Consolacion del Sur,-83.51442,22.50419,69857
Condado,-79.84014,21.8767,38248
Colon,-80.90492,22.72064,63882
Colombia,-77.42598,20.98812,20096
Ciro Redondo,-78.70365,22.01921,29560
Cifuentes,-80.04935,22.6493,40142
Cienfuegos,-80.44662,22.14957,186644
Ciego de Avila,-78.76194,21.84,142027
Chambas,-78.9123,22.19534,24114
Cerro,-82.3866,23.10809,132351
Cauto Cristo,-76.4727,20.55709,21159
Cardenas,-81.20596,23.03661,98515
Campechuela,-77.2799,20.23329,25069
Camajuani,-79.75,22.48333,35515
Camaguey,-77.91694,21.38083,347562
Calimete,-80.91105,22.5342,23255
Caibarien,-79.46599,22.51996,39140
Cacocum,-76.32574,20.73775,42623
Cabaiguan,-79.49726,22.07874,44515
Bejucal,-82.38861,22.92861,18123
Bayamo,-76.64361,20.37417,192632
Bauta,-82.54719,22.98226,45768
Bartolome Maso,-76.94291,20.16635,53024
Baragua,-78.62567,21.68216,15268
Baracoa,-74.49624,20.34711,48362
Banes,-75.722,20.96116,53104
Bahia Honda,-83.15994,22.90332,19834
Artemisa,-82.75944,22.81667,68073
Arroyo Naranjo,-82.37703,23.03811,210053
Amancio,-77.57958,20.81914,41523
Alquizar,-82.58392,22.80517,15275
Alamar,-82.27837,23.15794,100000
Aguada de Pasajeros,-80.84792,22.3852,23606
Abreus,-80.56931,22.27797,16711
Ciudad Camilo Cienfuegos,-82.32798,23.16076,178041
Centro Habana,-82.36417,23.13833,158151
La Habana Vieja,-82.35306,23.13028,95383
Jimaguayu,-77.82625,21.24224,21169
Boyeros,-82.4017,23.0072,188593
Diez de Octubre,-82.3597,23.0881,227293
Santa Maria,-22.90509,16.59796,17231
Praia,-23.51254,14.93152,113364
Mindelo,-24.98042,16.89014,70611
Cova Figueira,-24.29343,14.89054,15350
Willemstad,-68.93354,12.1084,125000
Flying Fish Cove,105.67912,-10.42172,500
Protaras,34.05833,35.0125,20230
Strovolos,33.33384,35.14867,67904
Paphos,32.42451,34.77679,35961
Nicosia,33.3642,35.17531,200452
Limassol,33.03794,34.68406,154000
Larnaca,33.6233,34.92291,72000
Kyrenia,33.31729,35.33634,26701
Famagusta,33.94135,35.12489,42526
Dvur Kralove nad Labem,15.81402,50.43172,16150
Znojmo,16.0488,48.8555,35280
Zlin,17.67065,49.22645,78759
Zgar nad Sazavou,15.93924,49.56263,20847
Zatec,13.54577,50.32717,19607
Vyskov,16.99897,49.27747,22265
Vsetin,17.99619,49.33871,28575
Varnsdorf,14.61824,50.91154,15895
Valasske Mezirici,17.97113,49.47181,27481
Usti nad Orlici,16.39361,49.97387,15151
Usti nad Labem,14.03227,50.6607,94105
Uhersky Brod,17.64715,49.02513,17508
Uherske Hradiste,17.45969,49.06975,26421
Trutnov,15.9127,50.56101,31398
Trinec,18.67078,49.67763,38415
Trebic,15.88166,49.21492,38785
Teplice,13.82451,50.6404,51223
Tabor,14.6578,49.41441,36264
Svitavy,16.46829,49.75594,17427
Sumperk,16.97061,49.96528,28768
Strakonice,13.90237,49.26141,23545
Stary Bohumin,18.33619,49.9169,23034
Sokolov,12.6401,50.1813,24901
Slany,14.08693,50.23046,15070
Roznov pod Radhostem,18.14302,49.45853,17238
Rakovnik,13.7334,50.1037,16473
Prostejov,17.11184,49.47188,47374
Prosek,14.50685,50.11525,15581
Pribram,14.01043,49.68988,35251
Prerov,17.4509,49.45511,47311
Prague,14.42076,50.08804,1165581
Pilsen,13.37759,49.74747,164180
Pisek,14.1475,49.3088,29774
Pelhrimov,15.22336,49.43134,16541
Pardubice,15.77659,50.04075,88741
Otrokovice,17.53944,49.20934,18857
Ostrov,12.93907,50.30592,17206
Ostrava,18.28204,49.83465,313088
Orlova,18.43011,49.84527,34282
Opava,17.90257,49.93866,60252
Olomouc,17.25175,49.59552,101268
Novy Jicin,18.01028,49.59438,26547
Neratovice,14.51759,50.25926,16427
Nachod,16.16289,50.4167,21263
Most,13.63617,50.50301,67905
Modrany,14.4096,50.01116,31901
Mlada Boleslav,14.90318,50.41135,43684
Melnik,14.47411,50.3505,19231
Louny,13.79667,50.35699,19147
Litvinov,13.61812,50.6042,27022
Litomerice,14.1318,50.53348,24489
Liberec,15.05619,50.76711,97770
Liben,14.47457,50.10819,31756
Letnany,14.51667,50.13333,15862
Kutna Hora,15.26816,49.94839,21280
Kromeriz,17.39312,49.29785,29126
Krnov,17.70385,50.08967,25547
Kralupy nad Vltavou,14.31149,50.24107,17373
Koprivnice,18.1448,49.59947,23424
Kolin,15.1998,50.02806,29690
Klatovy,13.29505,49.39552,23102
Klasterec nad Ohri,13.18342,50.3886,15040
Kladno,14.10285,50.14734,70003
Karvina,18.54169,49.854,63677
Karlovy Vary,12.87117,50.23271,51807
Kadan,13.26667,50.38333,18759
Jirkov,13.44769,50.49979,21056
Jindrichuv Hradec,15.00301,49.14404,22812
Jihlava,15.59124,49.3961,50100
Jicin,15.35162,50.43723,16328
Jablonec nad Nisou,15.17108,50.72431,44878
Hranice,17.73469,49.54796,19582
Hradec Kralove,15.83277,50.20923,95195
Hodonin,17.13244,48.84893,26345
Havlickuv Brod,15.57937,49.6069,24356
Havirov,18.43688,49.77984,82768
Frydek-Mistek,18.35,49.68333,59416
Decin,14.21478,50.78215,52058
Chrudim,15.79558,49.95109,23630
Chomutov,13.41779,50.46048,50251
Cheb,12.37392,50.07963,33242
Cesky Tesin,18.62613,49.74613,25750
Ceske Budejovice,14.47434,48.97447,96053
Ceska Trebova,16.44413,49.90436,16655
Ceska Lipa,14.53764,50.68551,38841
Bruntal,17.4647,49.98844,17686
Brno,16.60796,49.19522,369559
Breclav,16.88203,48.75897,25789
Branik,14.41518,50.03498,18740
Brandys nad Labem-Stara Boleslav,14.66326,50.18709,15398
Bohumin,18.35755,49.90411,23075
Blansko,16.64446,49.36304,20384
Bilina,13.77535,50.54854,15738
Beroun,14.072,49.96382,17550
Benesov,14.68697,49.78162,16257
Cerny Most,14.57974,50.10475,21500
Zwickau,12.48839,50.72724,98796
Zweibruecken,7.36977,49.24686,35221
Zuelpich,6.65414,50.69447,20208
Zossen,13.44909,52.216,17138
Zittau,14.80764,50.89772,25785
Zirndorf,10.95414,49.4424,25734
Zerbst,12.08517,51.9662,15680
Zeitz,12.1369,51.04962,29469
Zehlendorf Bezirk,13.25,52.43333,58469
Xanten,6.45297,51.65877,21587
Wurzen,12.73939,51.3707,15233
Wuerzburg,9.95121,49.79391,133731
Wuerselen,6.1347,50.81809,37074
Wuppertal,7.14816,51.25627,360797
Wunstorf,9.43585,52.42377,42080
Wuelfrath,7.03821,51.28195,21003
Woerth am Rhein,8.25959,49.04888,17272
Worms,8.35916,49.63278,81099
Wolfsburg,10.7815,52.42452,123064
Wolfratshausen,11.42166,47.91289,17191
Wolfenbuettel,10.54095,52.16442,54740
Wolfen,12.26873,51.66122,25251
Witzenhausen,9.8554,51.34103,16055
Wittstock,12.48287,53.16118,17361
Wittmund,7.77839,53.57674,21355
Wittlich,6.89308,49.98596,17887
Wittenberge,11.75032,53.00543,20171
Wittenau,13.32127,52.59319,29054
Witten,7.35258,51.44362,101247
Wismar,11.45286,53.89314,45255
Wipperfuerth,7.39865,51.1161,23723
Winterhude,10,53.6,51297
Winsen,10.21282,53.35753,32662
Winnenden,9.39819,48.87563,28334
Wilnsdorf,8.1,50.81667,21505
Wilmersdorf Bezirk,13.31667,52.48333,94113
Willich,6.54734,51.26371,51843
Wilhelmstadt,13.17707,52.52462,37624
Wilhelmshaven,8.11253,53.52998,84393
Wildeshausen,8.43375,52.89446,18114
Wiesloch,8.69846,49.29504,26605
Wiesbaden,8.24932,50.08258,272432
Wiehl,7.55062,50.9495,26291
Wetzlar,8.50495,50.56109,52656
Wetter,7.39277,51.38747,29146
Westerstede,7.92737,53.25682,21902
Westend,13.27636,52.51708,38501
Wesseling,6.9747,50.82709,35665
Wesel,6.62037,51.6669,61685
Wertheim,9.50852,49.759,24869
Wernigerode,10.78216,51.83652,34463
Werne,7.63421,51.66446,30810
Wermelskirchen,7.21583,51.1397,36816
Werl,7.91403,51.55493,32149
Werdohl,7.76608,51.26011,20366
Werder,12.934,52.37874,22384
Werdau,12.37534,50.73604,24424
Wendlingen am Neckar,9.37632,48.67124,15728
Wenden,7.86667,50.96667,19924
Wendelstein,11.15069,49.3523,16220
Weiterstadt,8.58874,49.9039,24253
Weisswasser,14.64017,51.50403,22099
Weissenfels,11.96843,51.20148,29792
Weissenburg in Bayern,10.97221,49.03095,18578
Weinstadt-Endersbach,9.36387,48.81311,26166
Weinheim,8.66697,49.54887,43325
Weingarten,9.63863,47.81009,23802
Weimar,11.32903,50.9803,64727
Weilheim,11.15484,47.84147,21401
Weilerswist,6.84585,50.75292,16321
Weil der Stadt,8.87176,48.74953,19338
Weil am Rhein,7.62082,47.59331,29548
Weiden,12.15613,49.67682,42550
Weissensee,13.46649,52.55632,47693
Wegberg,6.28436,51.14221,29622
Weener,7.35052,53.16332,15718
Wedel,9.69835,53.58374,31995
Wedding Bezirk,13.35594,52.54734,78290
Wassenberg,6.15484,51.10009,16641
Warstein,8.34851,51.44488,28532
Warendorf,7.98756,51.95109,38707
Waren,12.67985,53.5204,21470
Wardenburg,8.2,53.06667,16019
Warburg,9.14641,51.49011,24317
Wangen,9.83247,47.6895,27045
Wandlitz,13.45799,52.74196,19888
Waltrop,7.40238,51.62125,30220
Walsrode,9.5926,52.86147,24448
Wallenhorst,8.01667,52.35,24201
Waldshut-Tiengen,8.21717,47.62323,22404
Waldkraiburg,12.39893,48.20854,24676
Waldkirch,7.96371,48.09585,20155
Waldbroel,7.61688,50.87576,19533
Waiblingen,9.31641,48.83241,52945
Waghausel,8.51257,49.24991,20178
Wadgassen,6.78333,49.26667,18464
Wadern,6.88774,49.54122,17282
Wachtberg,7.1,50.63333,20032
Vreden,6.828,52.03792,22412
Voelklingen,6.85873,49.25162,41132
Voerde,6.6863,51.59703,36047
Vlotho,8.85996,52.1653,20214
Vilshofen,13.19222,48.62695,16695
Villingen-Schwenningen,8.49358,48.06226,81770
Viersen,6.39441,51.25435,76153
Viernheim,8.5782,49.54033,32620
Versmold,8.15272,52.04009,20996
Verl,8.51667,51.88333,24002
Verden,9.23491,52.92343,26924
Velbert,7.04348,51.33537,87669
Vegesack,8.61667,53.16667,34000
Vechta,8.28598,52.72632,29729
Vechelde,10.36491,52.26038,16219
Vaterstetten,11.76825,48.10537,21007
Varel,8.13621,53.39693,25212
Vaihingen an der Enz,8.96045,48.93563,28867
Uetersen,9.66394,53.68769,17921
Uslar,9.63501,51.6569,15951
Unterschleissheim,11.57684,48.28038,25567
Unterhaching,11.61564,48.06598,20852
Unterkrozingen,7.69045,47.91933,15908
Unna,7.68969,51.53795,66734
Ulm,9.99155,48.39841,120451
Uelzen,10.56111,52.96572,34996
Uberlingen,9.17136,47.76977,21507
UEbach-Palenberg,6.12336,50.91775,25544
Tuttlingen,8.8177,47.98464,34847
Tuebingen,9.05222,48.52266,83416
Trossingen,8.64409,48.07667,15040
Troisdorf,7.14968,50.80901,74749
Trier,6.63935,49.75565,100129
Traunstein,12.64335,47.86825,18422
Traunreut,12.59231,47.96269,21244
Torgau,12.99617,51.56016,18746
Toenisvorst,6.49412,51.32092,30296
Tettnang,9.59132,47.66857,18135
