id,value
0d0c4,12
0d0cc,8
0d0d4,12
0d0dc,12
0d0e4,10
0d0fc,12
0d104,10
0d10c,10
0d114,9
0d11c,10
0d124,12
0d12c,12
0d134,9
0d13c,12
0d144,10
0d14c,12
0d154,10
0d15c,10
0d164,10
0d16c,12
0d174,12
0d17c,10
0d184,9
0d18c,12
0d194,10
0d19c,9
0d1a4,12
0d1ac,9
0d1b4,9
0d1bc,10
0d1ec,10
0d1f4,12
0d224,8
0d22c,8
0d234,8
0d23c,9
0d244,9
0d24c,9
0d254,8
0d25c,8
0d2dc,2
0d2e4,8
0d2ec,8
0d2f4,2
0d2fc,8
0d304,8
0d30c,8
0d314,8
0d31c,8
0d324,2
0d364,8
0d36c,8
0d374,8
0d37c,10
0d384,12
0d38c,12
0d394,10
0d39c,10
0d3a4,8
0d3ac,8
0d3b4,9
0d3bc,9
0d3c4,10
0d3cc,9
0d3d4,8
0d3dc,10
0d3e4,10
0d3ec,10
0d3f4,12
0d3fc,10
0d404,10
0d40c,12
0d414,10
0d41c,10
0d424,10
0d42c,12
0d434,10
0d43c,10
0d444,12
0d44c,10
0d454,8
0d45c,12
0d464,12
0d46c,12
0d474,12
0d47c,12
0d484,10
0d48c,10
0d494,8
0d49c,8
0d4e4,2
0d4ec,8
0d4f4,8
0d4fc,12
0d504,12
0d50c,12
0d514,9
0d51c,8
0d53c,1
0d544,8
0d54c,8
0d554,14
0d55c,8
0d564,14
0d56c,14
0d574,8
0d57c,10
0d584,12
0d58c,12
0d594,7
0d59c,12
0d5a4,12
0d5ac,10
0d5b4,10
0d5bc,10
0d5c4,10
0d5cc,10
0d5d4,8
0d5dc,9
0d5e4,10
0d5ec,10
0d5f4,7
0d5fc,9
0d604,9
0d60c,9
0d614,9
0d61c,9
0d624,9
0d634,12
0d63c,7
0d644,7
0d64c,7
0d654,7
0d65c,10
0d664,12
0d66c,7
0d674,7
0d67c,12
0d684,7
0d68c,7
0d694,12
0d69c,7
0d6a4,10
0d6ac,10
0d6b4,10
0d6bc,12
0d6c4,9
0d6cc,9
0d6d4,12
0d6dc,12
0d6e4,12
0d6ec,10
0d6f4,9
0d6fc,7
0d704,10
0d71c,9
0d724,10
0d72c,12
0d734,9
0d744,10
0d74c,9
0d754,12
0d75c,10
0d764,7
0d76c,10
0d774,10
0d77c,7
0d784,7
0d78c,7
0d794,12
0d7ac,7
0d7b4,10
0d7e4,7
0d7ec,12
0d7f4,7
0d7fc,7
0d804,16
