id,value
84015e1ffffffff,15
84015e3ffffffff,16
84015e5ffffffff,15
84015e7ffffffff,15
84015e9ffffffff,16
84015ebffffffff,16
84015edffffffff,15
8401801ffffffff,10
8401803ffffffff,10
8401805ffffffff,16
8401807ffffffff,16
840180dffffffff,10
8401815ffffffff,10
8401823ffffffff,10
8401829ffffffff,10
840182bffffffff,16
8401831ffffffff,16
8401833ffffffff,16
8401835ffffffff,16
8401837ffffffff,16
8401839ffffffff,10
840183bffffffff,10
840183dffffffff,16
8401841ffffffff,10
8401845ffffffff,10
8401847ffffffff,10
8401861ffffffff,10
8401863ffffffff,10
8401865ffffffff,10
8401867ffffffff,10
8401869ffffffff,10
840186bffffffff,10
840186dffffffff,10
84018a1ffffffff,15
84018a3ffffffff,16
84018a5ffffffff,15
84018a7ffffffff,15
84018adffffffff,15
84018e5ffffffff,16
84018e7ffffffff,16
84018edffffffff,10
8401941ffffffff,10
8401945ffffffff,10
8401947ffffffff,10
840194bffffffff,10
8401959ffffffff,10
840195bffffffff,10
840195dffffffff,10
8401961ffffffff,7
8401965ffffffff,7
8401969ffffffff,10
840196bffffffff,10
840196dffffffff,7
8401991ffffffff,16
8401993ffffffff,15
8401999ffffffff,16
840199bffffffff,15
84019cbffffffff,10
84019d1ffffffff,16
84019d3ffffffff,15
84019d7ffffffff,10
84019d9ffffffff,16
84019dbffffffff,15
84019ddffffffff,16
8401b13ffffffff,10
8401b17ffffffff,10
8401b31ffffffff,10
8401b33ffffffff,10
8401b37ffffffff,10
8401b3bffffffff,10
8401b49ffffffff,7
8401b4bffffffff,10
8401b61ffffffff,11
8401b67ffffffff,16
8401b69ffffffff,10
8401b6dffffffff,11
8402003ffffffff,16
840200bffffffff,15
8402011ffffffff,15
8402013ffffffff,15
8402015ffffffff,16
8402017ffffffff,15
8402019ffffffff,15
840201bffffffff,16
840201dffffffff,15
8402021ffffffff,16
8402023ffffffff,10
8402025ffffffff,16
8402027ffffffff,16
840202bffffffff,16
8402033ffffffff,15
8402035ffffffff,16
840203bffffffff,16
840203dffffffff,10
8402057ffffffff,15
840205bffffffff,15
8402083ffffffff,16
8402087ffffffff,16
840208bffffffff,16
8402091ffffffff,16
8402093ffffffff,16
8402095ffffffff,16
8402097ffffffff,16
8402099ffffffff,16
840209bffffffff,16
840209dffffffff,16
84020a1ffffffff,10
84020a3ffffffff,16
84020a5ffffffff,10
84020a7ffffffff,10
84020abffffffff,16
84020b1ffffffff,10
84020b3ffffffff,10
84020b5ffffffff,10
84020b7ffffffff,10
84020b9ffffffff,16
84020bbffffffff,16
84020bdffffffff,16
84020c1ffffffff,16
84020c3ffffffff,16
84020c5ffffffff,16
84020c7ffffffff,16
84020c9ffffffff,16
84020cbffffffff,16
84020cdffffffff,16
84020d1ffffffff,16
84020d5ffffffff,10
84020d7ffffffff,10
84020d9ffffffff,16
84020dbffffffff,16
84020ddffffffff,16
84020e1ffffffff,16
84020e5ffffffff,16
84020e7ffffffff,16
84020e9ffffffff,16
84020ebffffffff,16
8402113ffffffff,10
8402117ffffffff,16
840211bffffffff,16
8402131ffffffff,16
8402133ffffffff,16
8402137ffffffff,16
840213bffffffff,16
8402181ffffffff,10
8402183ffffffff,10
8402185ffffffff,10
8402187ffffffff,16
840218bffffffff,10
8402191ffffffff,10
8402193ffffffff,10
8402195ffffffff,10
8402197ffffffff,10
840219bffffffff,16
840219dffffffff,10
84021a1ffffffff,15
84021a3ffffffff,15
84021a5ffffffff,16
84021a7ffffffff,10
84021a9ffffffff,10
84021abffffffff,10
84021adffffffff,16
84021b1ffffffff,10
84021b3ffffffff,16
84021b5ffffffff,10
84021b7ffffffff,10
84021b9ffffffff,10
84021bbffffffff,16
84021bdffffffff,10
84021c1ffffffff,16
84021c3ffffffff,16
84021c5ffffffff,16
84021c9ffffffff,16
84021cbffffffff,10
84021cdffffffff,10
84021d5ffffffff,16
84021d7ffffffff,16
84021d9ffffffff,15
84021dbffffffff,16
84021e1ffffffff,16
84021e3ffffffff,10
84021e5ffffffff,10
84021e7ffffffff,10
84021e9ffffffff,16
84021ebffffffff,10
84021edffffffff,16
8402211ffffffff,15
8402213ffffffff,16
840221bffffffff,15
8402281ffffffff,15
8402283ffffffff,16
8402285ffffffff,15
8402287ffffffff,10
8402289ffffffff,15
840228bffffffff,15
840228dffffffff,15
8402291ffffffff,10
8402293ffffffff,10
8402295ffffffff,15
8402297ffffffff,16
8402299ffffffff,10
840229bffffffff,10
840229dffffffff,15
84022a7ffffffff,16
84022a9ffffffff,16
84022abffffffff,16
84022adffffffff,15
84022b1ffffffff,16
84022b3ffffffff,16
84022b5ffffffff,16
84022b7ffffffff,16
84022b9ffffffff,15
84022bbffffffff,15
84022bdffffffff,16
84022c1ffffffff,10
84022c3ffffffff,10
84022c5ffffffff,16
84022c7ffffffff,10
84022c9ffffffff,16
84022cbffffffff,10
84022cdffffffff,16
84022d1ffffffff,10
84022d3ffffffff,10
84022d5ffffffff,10
84022d7ffffffff,10
84022d9ffffffff,10
84022dbffffffff,10
84022ddffffffff,10
84022e1ffffffff,16
84022e3ffffffff,16
84022e5ffffffff,16
84022e7ffffffff,16
84022e9ffffffff,16
84022ebffffffff,15
8402401ffffffff,15
8402405ffffffff,16
8402409ffffffff,15
840240dffffffff,15
8402411ffffffff,15
8402413ffffffff,15
8402415ffffffff,15
8402417ffffffff,15
840241bffffffff,15
8402423ffffffff,16
8402425ffffffff,16
8402427ffffffff,16
8402429ffffffff,16
840242dffffffff,16
8402431ffffffff,16
8402433ffffffff,16
8402435ffffffff,16
8402437ffffffff,10
8402439ffffffff,16
840243bffffffff,16
840243dffffffff,16
8402441ffffffff,15
8402443ffffffff,16
8402445ffffffff,15
8402447ffffffff,15
8402449ffffffff,16
840244dffffffff,15
8402461ffffffff,15
8402463ffffffff,16
8402465ffffffff,16
8402467ffffffff,15
8402469ffffffff,15
840246bffffffff,15
840246dffffffff,16
8402481ffffffff,16
8402483ffffffff,10
8402485ffffffff,16
8402487ffffffff,10
8402489ffffffff,15
840248bffffffff,16
840248dffffffff,10
8402491ffffffff,16
8402493ffffffff,10
8402495ffffffff,10
8402497ffffffff,10
8402499ffffffff,16
840249bffffffff,16
840249dffffffff,16
84024a1ffffffff,10
84024a3ffffffff,10
84024a5ffffffff,10
84024a7ffffffff,10
84024a9ffffffff,10
84024abffffffff,10
84024adffffffff,16
84024b1ffffffff,10
84024b3ffffffff,10
84024b5ffffffff,10
84024b7ffffffff,10
84024b9ffffffff,10
84024bbffffffff,10
84024bdffffffff,10
84024c1ffffffff,15
84024c3ffffffff,15
84024c5ffffffff,10
84024c7ffffffff,15
84024c9ffffffff,10
84024cbffffffff,15
84024cdffffffff,15
84024d1ffffffff,15
84024d3ffffffff,16
84024d5ffffffff,15
84024d7ffffffff,16
84024d9ffffffff,16
84024dbffffffff,16
84024ddffffffff,15
84024e1ffffffff,10
84024e3ffffffff,10
84024e5ffffffff,16
84024e7ffffffff,10
84024e9ffffffff,10
84024ebffffffff,10
84024edffffffff,10
8402501ffffffff,16
8402505ffffffff,16
8402507ffffffff,16
8402509ffffffff,16
840250bffffffff,16
840250dffffffff,16
8402513ffffffff,16
8402515ffffffff,16
8402517ffffffff,16
8402519ffffffff,16
840251bffffffff,16
840251dffffffff,16
8402523ffffffff,16
8402525ffffffff,16
8402527ffffffff,16
8402529ffffffff,16
840252bffffffff,10
840252dffffffff,16
8402531ffffffff,16
8402533ffffffff,16
8402535ffffffff,16
8402537ffffffff,16
8402539ffffffff,16
840253bffffffff,16
840253dffffffff,16
8402541ffffffff,16
8402543ffffffff,16
8402547ffffffff,16
8402549ffffffff,16
840254bffffffff,16
840254dffffffff,16
8402551ffffffff,16
8402553ffffffff,16
8402555ffffffff,16
8402557ffffffff,16
8402559ffffffff,16
840255bffffffff,16
840255dffffffff,16
8402561ffffffff,16
8402563ffffffff,16
8402565ffffffff,16
8402567ffffffff,16
8402569ffffffff,16
840256bffffffff,16
840256dffffffff,16
8402581ffffffff,16
8402583ffffffff,16
8402585ffffffff,16
8402587ffffffff,16
8402589ffffffff,16
840258bffffffff,16
840258dffffffff,16
8402591ffffffff,10
8402593ffffffff,10
8402595ffffffff,10
8402597ffffffff,10
8402599ffffffff,10
840259bffffffff,10
840259dffffffff,10
84025a9ffffffff,16
84025abffffffff,16
84025b1ffffffff,10
84025b3ffffffff,10
84025b5ffffffff,10
84025b7ffffffff,10
84025b9ffffffff,10
84025bbffffffff,10
84025bdffffffff,10
84025c1ffffffff,16
84025c3ffffffff,16
84025c5ffffffff,16
84025c7ffffffff,16
84025c9ffffffff,16
84025cbffffffff,10
84025cdffffffff,16
84025d1ffffffff,10
84025d3ffffffff,10
84025d5ffffffff,16
84025d7ffffffff,10
84025d9ffffffff,10
84025dbffffffff,10
84025ddffffffff,16
84025e3ffffffff,16
84025e5ffffffff,10
84025e9ffffffff,16
84025ebffffffff,16
84025edffffffff,16
8402609ffffffff,16
8402621ffffffff,15
8402625ffffffff,15
8402627ffffffff,15
840262dffffffff,15
8402641ffffffff,10
8402643ffffffff,15
8402645ffffffff,15
8402647ffffffff,16
8402649ffffffff,15
840264bffffffff,15
840264dffffffff,15
8402651ffffffff,15
8402653ffffffff,15
8402655ffffffff,16
8402657ffffffff,16
8402659ffffffff,15
840265bffffffff,15
840265dffffffff,15
8402665ffffffff,15
840266dffffffff,16
8402701ffffffff,16
8402703ffffffff,15
8402705ffffffff,16
8402707ffffffff,16
8402709ffffffff,10
840270bffffffff,16
840270dffffffff,16
8402711ffffffff,16
8402713ffffffff,15
8402715ffffffff,16
8402717ffffffff,10
8402719ffffffff,15
840271bffffffff,15
840271dffffffff,16
8402721ffffffff,16
8402723ffffffff,16
