time1,time2,lon1,lat1,alt1,lon2,lat2,alt2
3,4164,-106.6058,35.0442,1524,-111.9501,40.5855,2316
4,6101,106.8819,29.4785,9754,114.3147,23.0725,1204
4,4648,-90.3524,38.7408,305,-96.8577,32.8463,160
4,5623,-96.8355,32.9661,0,-96.8418,32.9809,244
4,4222,12.1377,57.0654,11582,4.7646,52.3146,0
5,1367,-87.8917,41.969,305,-85.3968,40.9968,1204
6,4617,-117.1334,32.8137,0,-117.1382,32.8141,130
6,1577,-114.0218,51.1213,1219,-113.4062,53.0954,1935
6,1979,-149.8372,61.2159,0,-150.893,60.5379,716
6,3507,119.3445,25.7243,10363,113.4685,22.2356,1219
8,2148,114.0582,24.2094,9754,111.1496,21.0293,7704
10,987,-123.0156,45.0463,914,-122.5638,45.5727,84
10,1273,-123.0069,44.7253,2134,-122.5603,45.571,84
11,2574,-117.2024,32.7367,0,-113.565,30.4004,13129
11,11515,-115.1497,36.0764,610,-86.6968,36.0814,274
11,7642,113.9136,22.3159,0,100.7702,13.8061,648
12,13699,121.2455,25.0781,0,100.8488,5.3275,5593
13,6299,-122.3077,47.4544,0,-121.9278,37.3608,23
13,1071,-83.4319,42.6468,305,-83.1793,42.5105,335
15,34191,-118.4129,33.9365,0,-0.4504,51.4776,-8
15,1679,113.3474,21.9792,610,110.5561,20.5509,8412
17,4807,-122.956,45.546,0,-121.2181,44.0791,1212
19,6079,-84.4422,33.647,610,-87.9986,42.9195,549
21,2285,144.9012,-37.7323,0,145.7543,-35.1632,5814
22,5351,140.4655,35.639,2134,130.4351,33.6087,168
24,5146,-77.0401,38.8673,0,-84.405,33.6495,328
24,4258,-120.5602,35.1744,1219,-112.0025,33.4408,404
29,3779,-87.8884,41.984,305,-79.6136,43.6678,152
33,1019,113.8293,22.6047,610,114.8698,23.7103,6309
33,2983,-120.5409,46.5678,305,-117.8452,47.5017,2438
34,4029,-78.8332,38.2947,1219,-77.5489,39.0578,236
34,4144,-122.2505,37.5127,0,-120.7296,35.3871,991
35,3073,-85.0619,30.6971,2438,-87.301,30.2989,1295
40,1618,-76.9256,42.2701,1524,-77.6663,43.1184,168
41,1371,115.9599,-31.9579,0,115.955,-29.7631,11278
41,5049,-81.3706,28.3129,1524,-88.7515,34.5298,6119
44,1917,121.5871,25.0683,305,121.5493,23.2402,2842
44,2651,-118.4512,34.0159,0,-118.448,34.0187,91
45,7243,-97.0302,32.8886,0,-82.5394,27.8499,678
45,4223,-87.8906,41.969,305,-82.3607,35.1366,1829
47,3148,-118.4215,33.9483,0,-122.2222,37.7068,-15
48,3058,-120.245,34.8463,1524,-117.5815,34.0549,312
50,8189,-90.3543,38.7415,0,-71.0138,42.347,84
50,3898,-88.3121,42.2093,305,-88.3336,42.2054,290
53,1558,-77.4273,38.3115,610,-77.5061,38.3325,762
53,5654,-97.0509,32.8878,305,-88.8927,40.5206,472
53,6715,-82.0886,31.1049,6401,-87.755,41.7825,168
60,2577,104.8543,29.6644,6706,106.8093,26.58,1303
61,1301,143.133,-37.769,4572,144.8323,-37.6392,99
61,2009,-120.7517,39.3967,4572,-122.377,37.6218,15
65,1823,-111.7298,40.2269,1524,-111.7031,40.1998,1554
69,2325,106.0832,20.5746,5182,108.1512,16.1509,9761
69,9146,-80.1616,26.066,0,-72.5245,41.9155,0
70,15285,113.8734,23.452,4267,113.7578,23.1649,3642
72,867,-110.6912,33.4154,2438,-111.6443,33.2933,503
72,2699,-112.0196,33.4312,305,-115.1438,36.0737,678
73,5407,-104.7358,39.84,1829,-96.8556,32.8445,160
75,2395,-117.8668,33.6691,0,-117.8579,33.6729,244
76,698,126.7729,37.5704,305,126.7647,36.8431,6805
76,25767,129.5898,33.2298,9449,-150.0155,61.2014,76
77,5329,-83.5845,42.244,305,-78.3503,35.6261,1036
78,6507,-82.5203,28.1155,1524,-76.6184,39.1105,396
81,2759,-87.1761,30.4356,305,-84.4091,33.6318,358
83,18748,-84.4382,33.6468,305,-122.3183,47.4246,160
83,1556,-150.009,61.19,0,-153.0242,61.372,7315
83,8729,-81.2703,28.3512,610,-66.0558,18.4337,206
85,7699,-97.6789,30.1911,305,-81.3321,28.6624,1135
85,28842,-80.3126,25.8002,0,-46.4258,-23.4187,838
85,824,100.7323,13.6632,305,100.724,12.4242,8649
86,2815,145.0975,-37.9793,-305,145.0967,-37.9693,-84
87,5749,-87.8846,41.9839,305,-74.1641,40.6936,15
89,4258,-83.7333,42.227,305,-83.7703,42.2094,366
94,1045,105.2344,26.3419,10668,107.3251,26.6025,10698
95,1278,-122.2157,47.4919,0,-122.2852,47.8915,213
95,2633,-118.3583,34.2047,0,-115.1382,36.0737,686
95,797,-88.9987,30.4904,5182,-88.1588,30.7108,610
96,4394,-114.2895,48.2775,1524,-111.9991,40.641,2477
97,2249,-75.2559,39.8644,0,-79.7672,40.3596,2446
97,6509,-97.0301,32.886,305,-84.6686,39.0719,312
98,2361,-113.3444,30.5232,11582,-116.9548,32.539,160
99,2684,-98.4286,29.4975,610,-97.026,32.9202,244
100,3144,-112.5503,30.4126,13716,-116.9735,32.5721,160
100,4438,-86.6751,36.1465,305,-88.0138,42.9158,648
100,748,106.6575,10.8192,0,107.0451,11.4935,6820
102,839,-123.0055,49.0779,-305,-122.641,49.3411,1021
104,4629,-80.931,35.252,610,-74.0333,42.4292,2080
106,1788,-124.024,36.7155,9449,-122.2228,37.7071,0
107,1696,145.0999,-37.9782,-305,145.9212,-38.1102,564
108,3718,-123.2057,49.1902,305,-114.0214,51.1011,1074
108,4558,147.4488,-35.1704,0,147.4967,-35.1749,427
111,7168,-104.6957,39.8887,1829,-117.4252,47.6785,1151
111,1016,-113.5851,53.4041,2438,-113.0703,54.1612,6401
112,2383,-86.359,33.5806,2438,-84.3058,33.8647,335
113,34215,-123.3598,49.2058,914,139.829,35.4756,526
114,4600,130.4445,33.5954,0,140.1846,35.6122,1608
114,11883,-65.981,18.4801,305,-72.6038,41.7251,998
114,12238,-84.1877,10.0361,1829,-90.462,34.6525,2652
118,19795,-74.168,40.6933,0,-6.2441,53.4199,46
119,1138,-95.9959,36.019,305,-95.9501,35.7751,732
124,3269,176.4172,-39.6277,2743,175.5999,-40.3198,-8
124,6488,-111.7311,40.2269,1524,-111.8975,33.634,572
125,929,113.8265,22.6097,305,113.4084,23.5285,6873
126,9290,151.1778,-33.9537,0,174.7257,-37.0286,175
126,1528,-82.9177,39.9546,305,-82.1762,39.0403,3345
126,27268,127.5515,50.89,4267,37.9213,55.3801,320
127,4460,-117.2745,33.1291,0,-117.276,33.1289,107
127,8472,-115.1634,36.0813,610,-96.8173,46.8388,724
129,6567,-87.8805,41.9843,305,-71.0154,42.3436,107
130,7919,-92.1121,38.6703,1829,-82.5333,27.8414,808
130,1858,-80.5762,26.9841,2134,-80.165,26.2065,152
130,3709,-118.3946,33.9384,0,-116.003,32.7695,2751
131,9478,121.2395,25.0734,0,140.6384,35.7356,2461
132,6176,-97.051,32.8917,305,-110.8124,35.1075,6058
133,746,-111.6781,33.3227,305,-110.6894,33.4394,1852
136,51034,106.8213,26.4511,2438,106.8129,26.5986,1425
137,8919,-87.8685,42.9513,610,-104.6864,39.9286,1783
137,3388,-86.6769,36.1414,305,-87.0454,30.4991,625
138,7729,-81.2207,28.4315,2438,-73.0831,40.811,130
138,5268,-97.0301,32.8895,0,-86.6982,36.0778,320
139,2303,-123.3289,48.0681,914,-122.2972,47.5237,-46
