time1,time2,lon1,lat1,alt1,lon2,lat2,alt2
177,830,144.9008,-37.7203,0,144.4776,-37.979,91
179,3265,0.2522,51.8967,0,-3.3799,55.9461,0
183,3689,-120.6065,35.1903,914,-117.6157,34.055,274
185,871,-82.6515,39.8906,305,-82.6627,39.7693,572
185,1792,-122.252,37.5141,-305,-122.515,38.0205,-53
186,6308,-97.0299,32.9049,305,-86.4432,41.7014,747
187,1965,152.2856,-28.0643,1219,153.0073,-27.5748,-91
188,2839,-121.2647,44.304,1829,-122.6484,45.6059,53
188,8021,-87.8324,42.9498,914,-82.5874,28.1865,1280
192,1775,-117.1291,33.6031,610,-119.0607,34.2133,114
194,1748,-97.794,25.8877,1219,-98.837,25.8769,2073
194,6865,-111.7276,33.46,305,-111.7198,33.4656,457
195,13107,-121.4886,38.5136,-305,-111.92,33.6147,442
196,7432,-96.8512,32.8408,0,-82.5391,28.1908,1227
197,869,138.6396,-34.7941,-305,138.957,-34.6548,1524
198,13557,120.9718,24.9375,2743,104.0325,1.4414,518
203,12802,88.1027,56.3495,11582,45.1941,50.6407,11582
204,4000,-122.2224,37.7069,-305,-115.1667,36.0818,610
204,3869,-111.9652,33.6356,1829,-116.7903,36.8444,12192
204,8158,-93.1872,44.8732,610,-73.8591,40.7995,84
204,8699,-80.2504,25.8046,305,-75.2528,39.8653,-46
206,3352,-111.0733,40.461,7925,-104.6877,39.8248,1920
209,5209,-76.7325,39.0474,305,-76.5235,38.9422,305
210,1932,107.173,17.4034,10363,105.6394,20.6821,5044
213,3088,131.9235,31.7935,11887,138.9576,34.2515,7010
214,11548,-104.677,39.9078,1829,-81.4668,28.7173,1410
215,2422,-76.6174,42.5749,1219,-77.6618,43.12,137
215,8928,-111.7549,40.9669,4877,-90.4031,38.7566,236
215,1607,-122.5575,38.1417,-305,-122.5542,38.1396,-69
219,1905,-75.6021,39.6807,0,-74.8033,40.2673,91
219,4401,-65.9596,18.4557,610,-59.7013,13.0429,998
222,980,126.7708,37.5718,0,126.8292,36.615,6706
222,1660,-89.976,43.5017,305,-89.9668,43.5496,579
223,3419,-84.4213,33.6347,305,-85.7349,38.1975,236
223,3016,113.92,22.318,0,118.4835,24.976,8870
223,5630,-118.1627,33.8134,0,-118.1472,33.8139,0
224,16424,-80.9524,35.1718,610,-118.3826,33.9374,15
224,3689,144.4027,-37.7284,0,144.9015,-37.7376,-15
225,8699,-81.2605,28.3439,1219,-78.7244,42.9445,198
226,1037,121.0363,14.5184,305,121.9173,13.7278,7993
229,8443,-88.502,48.0457,4572,-79.3757,43.8671,206
230,8249,-115.1629,36.0823,610,-94.6486,32.666,4054
231,9650,-47.1391,-23.0041,610,-58.5635,-34.8173,69
233,1127,-95.9789,36.0565,305,-95.9708,35.7895,792
233,1698,-73.414,40.728,0,-73.9941,40.7825,823
236,3415,-97.03,32.9041,305,-90.3934,34.7398,2339
236,4282,-97.0508,32.9163,305,-101.0583,40.6545,10980
238,2337,77.1044,28.5627,305,80.9524,26.7432,10668
245,6074,106.8421,-6.2886,305,99.4932,3.1715,4595
248,1278,-77.4987,38.7404,0,-76.9205,38.9304,61
248,1643,77.6894,13.2071,914,79.6191,14.8229,10660
248,1768,-150.0306,61.1681,0,-154.1455,62.9911,10363
252,6091,-95.1903,29.5764,914,-82.5202,28.2228,1151
254,11656,-112.0088,33.4311,305,-84.4453,33.6495,343
257,2384,-120.4595,38.9804,3353,-121.7791,37.6936,229
257,4036,-80.9331,35.1909,305,-75.2195,39.8759,8
258,2937,150.9615,-33.9033,0,151.0229,-33.9168,152
260,3943,-117.4529,47.6151,2134,-122.4482,47.1727,937
260,4769,138.4702,-34.9743,305,136.8705,-30.4867,-30
260,3657,-72.522,40.9214,1524,-75.0851,40.3651,427
262,3969,147.1066,-38.1245,305,147.1972,-38.0684,160
263,1499,-97.3811,31.7399,2743,-97.0262,32.8639,366
265,2338,138.0539,-29.7658,914,137.7334,-32.2415,2446
266,3445,-76.6956,39.1752,305,-80.9409,35.2794,526
267,1561,-81.3854,40.9274,1524,-81.3867,41.5649,945
268,1678,-118.3589,34.5449,1829,-118.4448,34.0214,76
270,3267,57.298,55.5062,10973,66.1075,58.0269,11278
274,4469,-115.1625,36.0828,610,-122.2224,37.707,-76
276,4967,-84.4185,33.6348,305,-80.1889,26.0771,130
276,2376,-96.8518,32.8413,0,-92.7036,34.44,3101
277,2184,-116.976,32.5418,0,-117.6143,34.0569,274
278,12904,7.2892,49.9749,610,43.1056,41.5774,11278
280,1163,147.2845,-38.2436,0,147.9638,-38.3813,130
280,6358,-80.2381,25.8046,305,-79.9725,35.9493,831
282,1628,-117.1115,33.5826,610,-116.9451,32.8228,328
282,3014,132.8322,32.2951,10363,136.794,34.9057,137
286,5608,-120.6258,35.6488,305,-117.2334,33.8218,770
288,4016,-117.14,32.8148,0,-117.1375,32.8153,130
289,5136,-118.4238,33.9478,0,-111.9507,40.5816,2377
289,6861,-97.03,32.9103,305,-84.7734,39.0465,625
293,1666,-121.9248,39.7934,305,-121.8922,39.7479,312
293,5970,-120.6005,35.1135,1219,-117.904,33.6494,206
296,959,-74.3944,40.8187,305,-74.7945,40.2894,114
297,1882,-122.2714,47.8956,0,-122.812,47.4544,1143
300,2086,-107.3195,36.1642,3962,-106.6215,35.0318,1654
302,2369,-95.2503,29.8963,1219,-98.6813,27.8837,5646
304,1978,115.4826,-33.2358,4267,115.9682,-29.6361,11278
307,1463,-99.1484,24.9096,9754,-99.5152,27.1501,3589
308,3389,145.0995,-37.9707,-305,145.1005,-37.986,-122
310,6826,-112.0026,33.4311,305,-97.0259,32.9233,320
