time1,time2,lon1,lat1,alt1,lon2,lat2,alt2
6,16220,133.0473,49.4826,11278,82.9328,55.0004,838
16,1756,-97.5281,32.5113,914,-97.3291,32.5882,488
16,6838,-97.0515,32.8859,305,-93.1362,44.8561,472
19,34676,-122.4026,37.631,0,-0.44,51.465,-53
19,8601,-80.2537,25.8026,305,-95.3982,29.9934,213
19,4374,-84.4399,33.6345,305,-77.0362,38.8363,0
20,8202,-81.9888,26.9156,-305,-86.334,39.696,244
21,7228,-87.7396,41.7948,0,-82.5553,27.8282,739
22,2216,113.8026,22.654,0,110.08,21.9488,9784
25,690,-118.4902,34.1984,305,-118.5068,34.2239,488
25,1766,-97.7618,32.9258,914,-97.1976,33.218,152
28,12253,121.0354,14.5175,305,140.5845,35.4518,1372
37,5899,-80.2728,40.4672,914,-81.1029,28.8032,3383
37,11290,-86.3321,36.0248,1524,-96.731,40.881,533
39,1528,-77.9195,35.0883,914,-78.7641,35.8596,183
47,7447,-97.0304,32.8861,305,-77.7064,37.4067,2637
47,5154,-119.4077,36.3303,0,-122.2094,37.7233,0
53,5725,-76.6864,39.1742,0,-87.7567,41.7812,114
54,754,-84.4363,33.6342,305,-84.8899,32.6852,2515
59,3656,-121.9294,37.3623,0,-117.1681,32.7284,69
66,4195,-97.0514,32.8833,305,-98.2476,26.1843,53
67,9069,-81.3125,28.4965,914,-87.7878,41.7569,251
69,41190,139.8286,35.7376,2134,-0.4296,51.465,-8
70,1701,111.6974,23.1505,8839,114.7296,23.9998,6721
71,24646,55.3791,25.2414,0,4.7525,52.295,-69
73,2204,147.1021,-38.0926,305,146.8341,-38.0938,511
75,1422,-116.1485,32.6913,2438,-117.1674,32.7282,69
76,8007,-115.1462,36.0764,610,-122.3179,47.4587,175
78,6669,-74.0792,40.8403,0,-86.7034,36.0619,396
78,14757,-87.7454,41.7903,0,-122.3078,47.4653,198
78,2548,-78.0463,40.8187,1829,-80.1081,40.483,785
83,3094,-111.7141,34.8276,2743,-111.9158,33.3078,457
90,1131,-122.2642,44.7566,3658,-122.5568,45.5698,198
93,4359,-117.8756,33.6652,305,-122.3664,37.6285,23
95,4327,-84.4355,33.6347,305,-81.522,40.9746,1280
95,3817,-111.7279,33.4601,305,-111.7199,33.4655,503
98,22049,-73.8117,40.6459,305,-0.4421,51.4649,-69
99,10889,-112.0798,33.6877,305,-112.065,33.6887,549
103,1798,-117.1394,32.8145,0,-117.1341,32.8124,122
106,1026,-94.9942,30.1834,610,-95.5344,30.0684,366
107,2386,-81.1093,29.365,610,-81.0771,29.2961,579
107,1407,-118.1533,33.8227,0,-117.969,33.8741,61
107,1876,-86.2253,41.9881,914,-86.3944,41.9532,450
109,3298,-95.9284,40.9888,305,-95.9984,40.9298,579
113,6117,7.6037,51.511,0,7.6036,51.511,99
114,2967,145.0971,-37.9676,0,145.0984,-37.9899,-30
116,9568,-104.6418,39.8324,1829,-78.7714,35.8856,130
117,19546,-149.9994,61.172,305,-91.3698,36.0553,9296
119,1259,147.3496,-38.2494,0,148.2866,-38.4014,107
125,4037,-113.174,37.6734,2134,-115.1223,36.0736,701
128,1756,115.5065,-33.3526,3048,115.9437,-29.9951,10668
130,2171,-96.5915,33.1384,305,-96.5072,32.1265,411
131,6682,-97.051,32.8834,305,-106.5999,35.0442,1600
135,1162,-87.0073,30.765,305,-87.0809,30.3671,434
135,737,126.8137,37.5427,305,126.8425,36.7609,4877
135,25005,90.1804,53.1028,11582,8.566,50.0316,0
142,3624,-111.7279,33.4601,305,-111.7199,33.4655,495
145,5792,-104.716,38.8127,1829,-112.0709,33.6883,503
149,2543,-95.9845,36.0476,0,-96.002,36.0233,290
151,17054,-80.966,35.2489,610,-117.1706,32.729,46
153,4372,-111.9612,40.7288,2438,-112.0065,33.4289,381
155,1506,-80.1952,25.8044,610,-81.0515,27.8048,3109
155,1271,113.7914,22.6733,305,112.6711,24.0215,9281
156,12523,-96.7334,40.8253,305,-75.4539,40.5836,450
157,8742,-95.3357,29.963,305,-77.0353,38.8268,53
157,30597,121.2323,25.0857,0,151.1882,-33.9937,107
160,1253,140.2509,36.2395,3353,139.825,35.481,434
165,2681,-104.7742,37.7254,1829,-104.5758,38.9573,2103
166,5834,-76.6899,39.1746,305,-87.8937,41.9658,137
167,4720,-115.1464,36.0765,610,-122.231,37.7126,-15
167,1475,-97.6968,30.346,305,-97.6705,30.4156,343
170,1801,-116.9777,32.5418,0,-117.5764,34.0549,335
171,1632,-118.4217,33.9481,0,-121.4843,33.6216,10363
174,1916,115.9656,-31.9385,-305,116.7014,-30.1263,6386
