time1,time2,lon1,lat1,alt1,lon2,lat2,alt2
4,6859,-87.7686,41.7975,305,-77.0395,38.8687,46
4,49853,126.6282,37.3741,1524,-73.7498,40.6517,30
7,10409,-97.051,32.8813,305,-118.3708,34.1979,251
9,3464,-78.9461,43.1002,305,-77.1365,43.2343,213
9,2027,-74.6052,39.2922,305,-74.1718,40.071,30
12,862,-93.8734,45.1815,610,-93.9388,44.9582,899
12,1348,-122.2136,37.7277,0,-122.7891,38.5172,335
14,17148,-83.3851,42.1881,610,-117.1715,32.7292,61
15,7977,-80.2675,25.8021,0,-75.2132,39.8772,38
15,6004,-84.4513,33.6476,305,-97.026,32.9212,221
20,1793,101.7017,2.7021,305,99.9973,5.3186,5936
20,657,149.7061,-32.929,1829,150.1025,-32.6183,2080
21,726,100.7277,13.6451,610,100.6898,12.4381,8603
22,869,150.6857,-34.0391,305,150.7867,-34.3896,572
36,1130,135.4271,34.7969,0,134.858,35.6383,1737
37,2510,-122.9104,47.6423,305,-122.7178,48.8946,244
37,7824,-111.5755,40.8869,5486,-97.0259,32.9212,229
38,863,113.7875,23.2513,3353,115.011,24.3967,9898
41,13559,-104.5898,39.877,1829,-72.6709,41.9516,61
47,5329,113.8283,22.6064,610,106.6553,29.646,8108
47,1259,132.2585,34.1221,1829,133.4434,34.4561,2111
48,1095,-118.4003,34.1923,305,-118.4242,34.2069,396
48,3558,4.4644,50.9036,0,12.2025,51.4115,114
50,2838,-94.5972,39.1034,305,-94.5856,39.1496,396
51,4239,-120.6059,35.1967,914,-117.5835,34.055,312
51,3141,-72.2408,41.4321,1219,-74.2193,41.5354,404
52,3679,7.1472,50.8679,0,12.6477,55.6186,0
53,5997,-97.051,32.8934,0,-88.9946,40.351,777
53,8673,-98.3956,29.5661,1524,-111.9425,40.6,2324
53,11413,-115.1486,36.0764,610,-86.6765,36.1436,191
54,6110,-122.3078,47.4528,0,-122.3686,37.6183,0
56,5307,-86.6882,30.4227,0,-88.0902,30.6438,602
57,988,-82.1202,29.2822,0,-82.1195,29.2935,84
57,18032,-77.4678,38.9371,0,-117.846,33.7118,213
64,6591,-122.6127,45.5919,0,-115.1375,36.0737,663
64,29758,-97.0299,32.8808,0,-0.4874,51.4775,23
66,773,-81.1903,35.4804,610,-81.139,35.5043,404
67,765,150.9776,-33.9142,0,150.5629,-33.9826,762
69,3679,-94.7254,39.3068,305,-87.7592,41.7793,213
70,4146,-104.6494,39.8032,1829,-107.3024,32.8675,6805
71,4619,174.8808,-41.2695,1219,170.9486,-45.2033,5083
72,2516,153.1083,-27.3805,0,151.093,-24.1366,8847
75,1184,-117.0881,33.6617,914,-117.2495,33.3573,244
80,1251,-82.763,27.9885,0,-82.7528,27.9763,152
82,2277,-71.0151,42.3567,0,-73.7471,40.6551,53
82,1297,-97.8298,33.2743,610,-97.1977,33.2145,244
83,14669,-111.6626,41.0441,4877,-74.1679,40.6875,0
87,1705,-76.8434,41.1957,1219,-76.7339,40.1833,221
88,1784,-76.2299,40.1222,610,-75.1067,40.3342,366
89,2834,-84.4266,33.6468,305,-87.3209,34.6368,968
90,1676,113.199,22.9684,3048,111.1696,21.0457,7696
90,2987,-109.1621,38.471,10973,-111.9022,33.6302,503
93,1900,-115.595,30.5169,11582,-117.1705,32.7289,84
93,6619,88.4456,22.6374,305,77.0259,30.6092,2697
96,5470,-79.4817,36.1383,914,-74.393,40.8141,221
97,3138,-116.5888,49.9309,9144,-123.1502,49.1835,30
98,25423,103.9824,1.323,305,153.1033,-27.3892,30
98,14669,121.1607,25.0147,610,104.0083,1.3839,168
98,6550,-121.0326,44.2979,3962,-111.9077,33.6254,480
101,1583,-122.773,45.2646,305,-123.0623,45.0261,1356
103,4723,-118.1446,33.8122,0,-111.9531,40.6018,2240
106,1674,113.8223,22.6176,305,111.9282,21.6554,8412
106,4942,-74.2368,44.3663,914,-83.4262,42.3105,747
106,712,-74.2686,39.9555,0,-73.9944,40.2907,191
108,7887,77.6883,13.1899,914,88.4556,22.7223,404
111,4398,-112.1202,40.8144,3353,-111.9959,33.4408,389
112,4275,-122.801,38.4925,305,-122.5561,45.5696,145
113,1911,-118.4543,34.0132,0,-119.8244,34.428,53
113,3144,-89.2222,45.2081,1829,-87.9847,43.0122,716
117,1362,-113.0642,37.7954,2134,-112.8829,38.2052,2385
123,6027,-104.5873,39.8758,1829,-90.4032,38.7567,175
125,2087,-73.7848,40.6233,0,-72.485,37.0286,10668
126,1640,-121.9217,37.3581,0,-120.6344,39.2034,3940
126,3505,136.1877,36.3377,2743,130.4358,33.6078,76
126,777,-81.2863,29.1407,610,-81.1497,29.2671,602
133,1797,-104.6067,40.2213,1829,-104.9299,40.4286,2012
134,4679,-87.8916,41.9839,305,-82.1329,42.1882,4755
134,13759,-114.0212,51.1276,1219,-73.7287,45.4673,0
138,3055,121.568,25.069,305,121.5372,25.0701,61
140,894,-121.1378,37.6467,1219,-121.7351,37.6934,518
141,2788,-115.1434,36.0764,610,-111.9978,33.4408,373
142,1943,174.8502,-37.0367,610,176.1783,-38.9317,4572
143,10534,-104.6424,39.7988,1829,-82.8747,40.0014,267
145,2034,135.2408,34.4252,0,132.1303,32.5222,7879
147,11778,55.9422,25.6018,0,79.7163,27.1527,4519
148,8599,-97.679,30.1975,0,-97.6755,30.2945,541
151,4188,16.3308,67.7885,9754,11.1842,60.3755,1105
152,2169,104.788,-2.1713,10973,104.1814,1.1916,480
153,1167,-122.5931,38.3408,610,-122.556,38.5367,884
153,10178,-80.267,25.8023,0,-70.9961,42.3833,76
154,1864,-118.4232,33.4008,305,-118.4421,34.0236,91
154,865,-96.7173,40.8908,914,-96.0954,41.1856,389
155,12762,-87.8862,41.9691,0,-75.2182,39.8762,23
155,1551,-75.0502,41.3374,914,-74.2593,40.9032,221
155,4454,-86.6995,36.0897,305,-90.3728,38.755,191
156,9563,-97.0509,32.8865,305,-117.5875,34.0569,282
157,2592,-98.4372,29.5062,610,-97.026,32.9202,221
157,4835,-76.6562,39.1517,305,-84.4127,33.6318,297
157,958,-149.9847,61.1868,0,-150.2955,61.486,305
159,9489,139.4477,35.3824,610,127.4773,36.9168,2164
159,1306,-123.1483,45.1507,305,-123.1884,45.0808,808
159,5808,-79.9243,39.6076,610,-84.6269,33.3796,495
159,1007,-104.9836,40.4718,2743,-104.8522,39.5984,1798
160,892,-112.268,40.969,3658,-113.2051,41.9298,8534
170,17291,138.6181,-34.6908,0,138.6055,-34.7378,213
171,12777,-90.3751,38.7516,305,-117.1725,32.7293,61
174,1821,-81.2132,28.2744,2134,-80.2347,26.1906,411
174,1843,-81.792,41.1213,610,-81.7342,41.0108,610
174,1161,-79.7441,25.4046,2438,-80.3158,25.8024,53
176,8778,-74.7655,40.5417,305,-83.0433,40.0785,343
179,2048,-93.9586,46.0873,1524,-93.1472,45.0255,701
184,46012,-118.4105,33.9368,0,121.3164,25.1338,488
185,9614,-97.0302,32.8858,0,-76.1814,36.9137,53
186,6617,-120.548,46.5694,305,-122.9106,48.7127,0
190,1107,-81.2204,29.4047,914,-80.921,28.953,1341
191,3058,-96.4579,30.1523,4267,-97.4125,27.9755,511
197,2351,115.8709,-32.1021,0,117.243,-30.0693,7620
198,1122,-123.0234,48.5103,0,-122.5376,48.8051,69
