time1,time2,lon1,lat1,alt1,lon2,lat2,alt2
3,3799,14.2961,55.4867,10363,4.7102,52.3439,99
4,3474,121.0415,14.5268,305,120.526,18.1052,373
4,1769,115.971,-31.9348,0,117.8991,-32.2305,5791
5,1295,-97.1917,33.1959,0,-97.2008,33.1952,152
6,2662,-122.3109,47.437,0,-126.4194,50.9242,10973
7,727,-80.3126,25.798,305,-79.1499,25.4057,8984
7,12331,139.8577,35.5443,610,121.516,25.0709,76
7,163562,-76.1439,-5.4406,3658,-75.4421,-3.6108,2134
8,5302,-96.835,32.9652,0,-96.8332,32.961,145
8,1679,126.7785,37.5706,0,126.6858,34.9736,7315
9,3078,151.8546,-32.8072,0,151.8072,-32.7754,213
9,8074,-93.1941,44.8813,305,-111.9961,40.78,1120
9,1837,-97.5382,32.8419,610,-96.592,33.1536,305
12,3109,-117.473,47.6419,1219,-122.6242,45.5962,-76
13,1208,150.2375,-34.1441,1524,150.9608,-33.9057,206
13,1796,-96.1163,32.5101,305,-97.294,32.7162,351
14,5243,-81.9957,26.915,0,-86.2403,33.0076,4229
16,999,-105.1138,39.9076,1524,-104.852,39.5938,1692
17,14420,144.4447,-37.7487,305,153.1035,-30.2999,396
18,15290,28.0561,53.89,0,66.7901,39.6817,12482
18,2664,139.4048,35.5699,1829,135.7829,33.4226,10980
21,3294,-83.3509,42.2822,914,-91.1437,41.9189,2758
21,2176,-122.5782,45.5884,0,-122.3179,47.4575,38
23,7817,-93.2072,44.8762,305,-97.6567,30.1565,198
23,4396,-149.8364,61.2159,305,-149.8348,61.2159,328
25,6351,-116.8121,47.776,305,-111.7422,40.2412,1311
25,39324,-43.2302,-22.8343,0,4.7393,52.2899,61
25,4755,-116.2259,43.5664,610,-122.3751,37.6211,-69
26,4242,-122.311,47.4521,0,-116.2024,43.5585,724
26,2759,-112.006,33.4289,305,-115.1687,36.0784,587
27,4993,-82.7022,27.8871,305,-82.4427,37.0476,7277
29,3653,-96.8742,32.6852,0,-96.8615,32.6746,145
33,3656,-116.5098,33.8318,0,-122.0577,37.9885,-76
33,4543,-122.117,37.4632,-305,-118.5047,34.166,526
34,2519,-77.4361,38.9484,0,-74.077,40.8422,114
34,6169,-80.3153,40.5006,914,-93.2282,44.896,274
35,703,-98.1888,26.3582,610,-98.2469,26.1835,-30
37,8993,-80.3069,25.8005,305,-79.6641,7.9043,10676
37,18947,-73.8172,40.6485,305,-122.3179,47.4586,46
38,920,106.6571,10.819,0,107.408,11.9316,7437
41,6022,-74.1644,40.6989,0,-84.4042,33.6495,320
