time1,time2,lon1,lat1,alt1,lon2,lat2,alt2
4,2444,34.6136,42.3953,11582,28.8865,41.5328,1471
4,1959,-114.3696,48.2674,1829,-117.2233,47.7313,1128
4,2995,-122.3078,47.4507,0,-114.7874,46.452,10668
11,2818,-88.1449,45.2894,2438,-87.9082,43.0854,899
16,33045,-123.3648,49.2048,914,139.8274,35.4777,465
17,3855,28.82,40.9732,0,27.5264,34.7117,10058
17,1043,115.9648,-31.9414,0,116.7219,-31.1334,7628
23,966,-80.929,29.0477,0,-81.1374,29.0104,785
24,1823,-123.2207,49.1868,305,-122.3182,47.4252,38
24,1252,-89.9998,39.1154,305,-90.1507,38.5919,274
24,11725,107.9876,-5.9615,6706,103.9509,0.9277,610
28,946,-83.371,42.2027,914,-83.7481,43.2302,2301
29,859,126.7745,37.5691,0,126.7705,36.4081,8534
29,29597,-97.0302,32.9117,305,-0.4913,51.4648,-69
34,4733,-87.7621,41.7923,305,-76.5684,39.1677,465
34,4497,-106.4779,40.522,11887,-94.7278,39.2985,221
34,3342,-77.0389,38.8659,305,-80.8294,35.1847,2149
35,3642,145.0966,-37.9707,0,145.0982,-37.9891,-23
37,9518,-112.0069,33.4311,305,-87.8628,41.984,267
38,1935,119.0943,-31.6552,10363,115.9705,-31.9216,15
39,12119,-79.6299,43.6826,305,-113.061,53.3505,2309
39,1000,140.2549,36.2692,3658,139.8416,35.4883,465
42,1169,-78.2673,34.8882,1829,-78.7703,35.8865,213
43,2278,-98.1296,40.9553,1829,-95.8681,41.2694,404
47,3069,-96.268,35.8077,914,-96.0015,35.9873,396
51,5225,121.2333,25.0866,0,113.9028,22.2978,-53
55,4610,-123.1416,44.9809,1524,-122.2447,47.3149,145
56,1524,135.4136,34.7172,2134,137.665,36.766,11880
57,3772,-122.9573,45.548,0,-122.9389,45.53,-30
59,2544,-73.881,40.7726,0,-70.9991,42.3774,152
61,15924,132.9881,49.5212,11582,82.7814,55.0242,442
64,6269,-122.372,37.6201,0,-122.3182,47.4256,0
66,3640,-80.9702,35.2619,610,-87.8784,35.8965,10668
70,5003,-122.2212,37.7061,-305,-122.5552,45.5694,15
70,3388,-110.944,30.5151,3353,-111.9933,33.4289,351
71,3353,-84.4295,33.6469,305,-87.2376,34.6084,1920
76,1807,153.1242,-27.3923,-305,150.6346,-26.9172,5486
76,5152,-121.8096,37.6951,0,-121.8071,37.6937,107
77,2999,-122.3767,37.6172,-305,-118.3746,33.9382,30
