time1,time2,lon1,lat1,alt1,lon2,lat2,alt2
4,6637,26.8667,44.2595,10363,7.3329,50.0186,922
4,7524,-118.4185,33.9484,0,-122.5325,45.5701,107
4,24237,103.9808,1.319,610,144.8348,-37.6525,53
5,28262,-80.3245,25.799,305,-46.4997,-23.4422,808
6,3149,-113.2874,32.8736,2438,-111.7205,33.4651,465
7,1335,-96.8601,32.8484,0,-94.4358,32.2501,11872
7,28345,113.9216,22.3184,0,55.1647,24.8927,0
10,2836,-73.7666,40.6449,305,-77.678,43.1185,168
10,1294,-74.0592,40.855,0,-72.8907,41.2175,191
11,1102,-149.6012,-17.5494,0,-149.5955,-17.0166,23
11,1617,-75.226,39.8746,305,-76.7806,40.2001,114
11,9005,-115.1481,36.0764,610,-93.0731,44.8181,914
12,1916,-122.4247,45.5598,0,-123.3458,46.066,1646
14,4709,-122.4088,45.6279,0,-122.3924,45.6278,122
14,3501,-122.965,45.5553,0,-122.3125,47.5418,-38
15,6502,12.2108,34.8551,11887,28.5573,41.5148,1242
15,15620,-150.0161,61.2018,0,-117.477,34.055,762
16,5347,-80.6104,28.1383,914,-82.6764,27.9254,168
17,1241,-108.4482,35.3901,4572,-106.6232,35.0284,1547
18,1489,104.2896,28.7196,9449,105.8477,31.2569,9479
21,2402,-150.7845,61.3998,610,-149.9425,61.1799,152
22,923,-122.2946,47.5203,0,-122.4331,47.9793,274
22,3650,-117.6528,34.0565,610,-121.6016,38.68,15
24,2291,-77.6294,40.7288,3048,-75.2966,39.8564,99
25,3528,-111.017,32.1757,1524,-112.2128,38.3496,10363
26,715,-84.4659,33.4021,610,-84.3738,33.7596,396
29,1305,-95.9813,36.0569,305,-95.9829,36.0235,244
33,2600,-81.7623,26.138,305,-81.7581,26.1469,274
33,9119,37.2109,55.5809,610,16.5675,48.1117,198
33,22928,-74.1655,40.6971,0,-9.1423,38.7695,38
34,1697,115.9681,-31.9297,0,116.284,-29.1706,10058
38,5112,-97.03,32.903,0,-85.8145,30.402,229
39,2542,-84.4527,33.6348,305,-87.0835,30.4938,526
39,3343,-118.3389,33.8036,0,-118.3351,33.7993,61
42,3473,-78.979,34.2747,9754,-76.7099,39.1759,152
43,2354,-111.3002,32.4132,1829,-111.6372,33.293,480
44,4045,-121.6002,38.7128,0,-117.1679,32.7283,91
51,5573,-97.0508,32.9071,0,-104.6608,39.8028,1775
55,1945,-76.8606,41.167,1524,-76.7814,40.2005,114
55,1304,-152.8323,61.1161,6706,-150.0528,61.1676,160
58,1128,113.8226,22.6169,305,112.8732,23.8202,7186
58,807,-121.8324,39.2248,1829,-121.6015,38.6798,23
58,1634,-116.978,32.5421,0,-114.3335,30.7853,11278
63,37736,-87.9297,41.969,0,34.8617,32.0169,61
67,2748,153.11,-27.3773,0,150.9959,-23.5404,11582
67,6207,-117.5746,47.534,1829,-115.1531,36.0995,640
70,5869,-84.4389,33.647,305,-87.9043,41.9658,175
70,4466,-47.9105,-15.8788,914,-49.3626,-24.1478,8519
72,4186,-117.8737,33.6678,0,-112.4037,39.4794,7452
73,1557,-106.892,41.2884,10973,-104.6875,39.8272,1844
73,2107,-111.4218,32.9603,610,-111.6357,33.2833,518
73,6816,-81.2579,28.5498,1219,-73.7759,40.6185,30
75,10619,7.1484,50.8671,0,29.3407,40.9101,221
76,1535,-81.3661,38.7542,6706,-82.8564,39.9906,381
78,19575,-75.9487,5.5972,11887,-46.5047,-23.4436,838
81,1073,-113.0884,38.0782,2134,-113.0621,37.7439,1905
83,4190,-116.5801,43.8567,1219,-116.5092,43.8135,1250
83,1974,-73.7714,40.6405,0,-71.014,42.3466,-30
84,869,-88.6675,41.9618,610,-88.2283,41.9111,274
86,5038,-84.4411,33.6347,305,-76.7095,39.1759,145
86,3114,-113.2741,37.6813,2438,-115.1265,36.0737,617
87,2757,-73.8524,40.7684,305,-77.035,38.8236,114
87,47073,151.1716,-33.9295,0,-118.3982,33.9525,53
89,14848,138.6226,-34.6686,305,151.2776,-24.3015,8153
90,9957,-95.2997,29.6634,305,-115.1374,36.0737,587
92,2787,-111.8021,34.9771,4267,-117.2709,33.1297,122
92,2213,-99.8321,34.0697,8839,-97.0099,32.8717,175
92,7346,-90.3772,32.4523,11887,-92.1572,44.0774,2652
93,7444,-80.118,26.0668,305,-80.2968,40.3802,1707
94,4919,-117.1355,32.8145,0,-117.1392,32.816,130
97,3951,-84.3036,33.8693,305,-84.2956,33.8911,396
98,1225,-121.7625,39.7748,5791,-121.4006,38.6506,30
100,1126,107.0345,29.313,8839,106.4645,27.2981,7186
101,14125,121.2596,25.0891,305,104.0266,1.4274,450
101,5575,106.8825,29.4682,10058,113.6223,22.831,937
102,1302,-97.0507,32.902,0,-99.0917,32.5607,3551
102,2235,-121.2003,44.0882,1219,-121.2096,44.1156,1166
102,3170,-123.0091,49.0689,0,-123.0202,49.078,-38
103,2846,151.1706,-24.8724,4572,153.1302,-27.3818,-53
105,7450,140.9059,38.1397,0,140.9387,38.1429,69
106,1109,104.8702,29.6232,6706,105.6506,27.7467,6888
108,7604,-97.0299,32.9085,305,-78.8061,35.8711,160
109,9431,-84.7321,39.0463,610,-104.6608,39.8093,1745
109,3919,-86.6758,36.1436,305,-87.7436,41.7791,198
111,6324,-149.8319,61.2149,0,-149.8319,61.2147,91
115,7949,-118.4172,33.9486,0,-117.4324,47.6799,1120
116,5542,-98.09,29.7543,610,-97.9687,29.7057,526
118,2909,-75.7206,41.3418,305,-76.7789,40.1995,91
123,808,-106.3094,35.0441,2438,-106.6152,35.0354,1524
125,31669,106.8575,29.908,3353,106.6506,29.6829,587
125,5649,-149.678,61.6333,305,-149.6991,61.6093,213
