time1,time2,lon1,lat1,alt1,lon2,lat2,alt2
1,1139,-79.2944,38.584,5791,-77.4594,38.9674,53
4,21506,83.7617,56.5154,9754,4.7569,52.3144,-76
4,1073,87.0833,53.7577,10363,83.9913,54.5514,6614
7,9075,-71.0186,42.3498,0,-81.1935,28.8214,2667
7,926,-150.1803,61.5611,0,-149.944,61.1795,-15
10,5695,-80.2627,25.8023,0,-78.814,35.8648,168
10,1063,152.9693,-33.9636,8230,151.1892,-33.9971,84
11,4683,-85.5883,44.4035,4572,-88.8775,39.8259,290
12,5357,-112.0138,33.4311,305,-122.2213,37.7062,46
14,5647,-73.8908,43.0267,610,-84.5975,38.0434,297
15,1427,113.8228,22.6169,305,115.1708,24.1958,6888
16,4947,-70.0136,41.3869,1524,-80.9128,41.5569,4100
16,7503,-119.4406,37.0635,1219,-119.7138,36.7803,251
16,5057,-73.6744,41.058,305,-75.5583,42.8727,640
18,12285,-84.3928,33.6469,610,-111.9534,40.6032,2377
18,8098,-104.5955,39.8752,1829,-83.4186,42.1554,495
22,4043,-97.0508,32.8948,0,-100.096,25.7388,11887
23,6708,-97.03,32.8889,0,-84.6679,39.1078,503
26,1586,-114.0211,51.1176,914,-113.4159,53.0784,1836
29,32782,-95.1062,29.9414,1829,2.6266,48.9962,69
34,2819,-104.7144,38.761,2134,-107.9298,37.9583,2751
35,3612,-76.6588,39.161,305,-70.9976,42.3803,8
36,1065,-97.3245,32.5909,305,-97.3113,32.59,427
36,8274,77.6963,13.1897,914,89.5335,24.9831,11278
37,4587,-104.696,39.8896,1829,-96.8856,46.7759,792
38,2511,-120.7587,38.8782,3048,-122.1164,37.4624,61
38,6418,-77.0363,38.8288,305,-81.3278,28.5431,739
40,1290,-82.6603,34.7483,914,-82.4643,34.6676,892
40,3567,-120.322,38.9341,5791,-120.1719,34.6962,1120
43,3163,-121.921,37.3546,0,-118.1499,33.8166,69
44,10490,-122.2855,38.2072,0,-98.5432,29.5875,663
46,5459,-87.8901,41.9689,305,-76.7116,39.176,122
47,6956,106.8827,29.4633,10058,113.7602,22.6995,312
47,1077,-96.2819,35.9971,1524,-95.9808,36.0575,351
48,3016,150.096,-23.7573,10363,153.1323,-27.3781,-137
49,2383,-95.232,29.6626,914,-96.8554,32.8561,191
50,2600,-121.0643,38.8512,2438,-122.1165,37.4625,69
50,2616,28.7239,41.3139,610,35.8876,41.9396,11872
51,14846,152.1201,-31.8466,3353,149.9594,-33.2103,1890
51,18889,69.6112,18.2363,10363,104.6768,-2.725,11270
