time1,time2,lon1,lat1,alt1,lon2,lat2,alt2
3,1548,-99.3814,40.8454,4877,-96.7511,40.8044,617
4,2299,138.6293,-34.7817,0,138.625,-34.8122,145
4,3374,174.7747,-37.0511,610,175.6032,-40.3199,61
4,1377,-150.022,61.2071,305,-152.9523,62.8844,9144
5,3848,-87.4799,48.3593,11887,-79.6103,43.6701,99
5,12889,-80.2715,25.8023,0,-104.6873,39.8531,1722
6,928,106.0675,26.9654,9449,108.3203,27.9833,9479
8,13104,-87.9726,42.9186,610,-122.3179,47.4582,69
8,2180,-72.466,37.8667,10973,-73.7457,40.657,-8
9,2457,-81.0256,35.2896,1219,-85.5935,32.7731,4069
10,1064,-95.1517,29.6069,0,-95.1489,29.6027,130
10,2538,-119.1954,34.2209,1219,-116.4929,33.8132,137
12,3524,-115.1973,36.2105,610,-115.1973,36.2131,640
17,3838,-71.0136,42.3609,0,-74.8048,44.9662,274
17,8241,51.6092,25.2952,0,70.2801,32.5096,10668
17,2773,174.7608,-41.3936,914,172.5285,-43.4921,-15
17,770,-88.2929,30.7486,305,-88.2915,30.7472,381
18,6618,-121.9217,37.3581,-305,-122.3179,47.4673,99
18,1372,-80.847,35.2166,305,-80.737,35.0154,274
20,10815,67.8323,56.5684,10973,30.8016,59.7913,998
20,6290,-81.2479,28.3487,1219,-76.6946,39.1751,-15
22,2771,-116.9825,32.573,0,-116.9677,32.5702,122
23,2298,-111.906,33.6269,305,-111.9077,33.6254,404
23,1120,106.7048,29.6429,1524,106.9774,27.6859,8108
24,2728,-84.3351,30.5812,2743,-84.4561,33.6318,312
24,1499,136.7933,34.8803,305,135.6158,32.9554,11582
24,6776,-79.4042,9.0488,610,-90.5245,14.5928,1455
25,3629,-87.9092,41.9691,0,-93.1519,44.8631,488
25,4456,-84.4167,33.6345,305,-81.7758,26.5226,91
26,809,-123.1529,49.1842,305,-122.9286,50.038,7300
27,2710,138.5648,-34.7768,0,138.6271,-34.8093,84
27,8759,-76.6615,39.1636,0,-94.7225,39.3171,328
27,776,113.946,22.5547,0,114.322,22.7019,549
28,2202,-83.3781,42.193,610,-86.2335,39.7558,511
28,11368,-73.7847,40.6237,0,-66.0389,18.4337,145
30,1555,-120.6974,47.6802,3962,-122.3179,47.46,61
32,1226,136.9803,-34.3083,6401,138.5079,-34.965,137
33,6268,-118.1587,33.8139,0,-118.1457,33.8131,-23
33,1004,-121.9331,38.4086,610,-121.9857,38.3638,229
34,2458,138.634,-34.7787,305,138.6203,-34.8199,160
35,5935,140.3596,35.793,3658,129.224,32.9288,10371
39,9267,-87.7605,41.7786,0,-80.2057,26.0771,244
40,1151,106.6751,28.7851,4877,106.696,29.8644,1105
42,1402,121.2502,25.1185,305,119.3315,23.3275,11582
44,4190,-77.5785,35.0907,2134,-74.5042,39.4283,290
44,810,-116.701,43.8436,1524,-116.2014,43.5581,846
47,5727,-104.6965,39.8606,1524,-96.864,32.8518,175
49,2128,-69.9726,44.6254,2743,-71.3978,42.8768,282
50,5477,-94.7376,38.849,305,-94.7376,38.8453,351
51,16229,-80.2745,40.503,305,-115.1242,36.0737,587
52,3551,-82.5522,28.0453,610,-84.4614,33.6318,320
52,1487,-117.3346,47.7897,610,-117.3089,47.6902,610
53,1112,145.8904,-37.9501,1219,145.4107,-37.7472,213
58,1527,-87.9196,42.9057,610,-87.8915,42.0028,251
59,5682,-86.6907,36.1073,305,-93.175,44.8622,404
59,1139,-86.4908,36.2273,610,-86.6773,36.141,152
63,2090,153.1057,-27.3847,0,151.6083,-24.281,11582
64,3006,-116.9881,32.8351,0,-116.9496,32.8226,244
65,1943,-149.9638,61.1697,0,-152.7459,60.1286,6081
66,12875,-115.1534,36.0988,610,-78.7169,42.9501,198
66,40214,50.1754,26.2491,0,15.7669,50.0125,130
68,1697,-121.8179,37.3315,-305,-121.5856,36.8012,1036
69,5516,-76.3272,36.6903,0,-76.3591,36.6612,183
72,19976,-79.6493,43.6843,0,-22.6055,63.9972,213
73,3360,138.6408,-34.7889,0,138.6331,-34.8072,152
73,8115,-71.6275,41.9252,610,-76.7128,42.1563,1250
74,1983,-118.5475,37.3234,6706,-119.062,34.2135,91
74,1546,106.4799,27.0931,9754,104.6643,29.2475,6866
74,3310,-93.2232,44.8943,305,-100.525,45.9968,9754
76,17426,-80.9648,35.2495,610,-117.1698,32.7288,8
77,1468,-87.9074,41.9691,0,-85.4375,42.8038,1433
77,3017,-83.7564,35.9731,914,-84.5809,34.0336,541
78,4508,-116.5157,33.8388,0,-122.3808,37.6211,-76
80,1672,-118.4507,34.0173,0,-117.8721,33.6701,-30
80,19304,-74.1749,40.6827,-305,-122.3179,47.4581,91
81,1056,-87.8988,42.105,305,-89.0188,42.6378,335
82,5537,-81.0412,35.2888,914,-92.4526,31.2729,11590
85,862,-47.9438,-15.8808,914,-48.935,-16.539,7689
85,719,-96.6816,32.3304,610,-96.8667,32.6884,244
86,1224,150.9717,-33.916,0,151.0036,-33.9319,0
87,2305,-95.2484,29.6746,914,-95.4897,32.3865,1676
88,1404,112.3861,21.6526,4572,113.8563,22.5241,579
88,2035,-117.1332,32.8136,0,-117.857,33.6915,53
88,1464,150.9735,-33.9131,0,150.7264,-34.4622,770
89,2656,-117.2854,33.1273,0,-117.8602,33.6866,30
89,4559,139.8617,35.506,914,133.0799,32.6372,7925
92,5546,-90.2418,32.5088,10668,-83.28,42.3285,564
93,2789,-121.8719,38.676,0,-121.8715,38.6751,0
93,5748,148.0907,-34.6502,1829,148.2691,-34.2544,1615
94,2479,-71.0149,42.3569,0,-73.8763,40.7786,-107
96,2003,-76.7938,47.5248,7010,-73.9988,45.6865,8
99,1229,113.7898,22.6755,305,112.4808,23.9357,7193
101,2699,-83.3752,42.1989,305,-87.7399,41.7946,221
102,20026,12.2531,51.4138,0,50.6339,26.2707,-30
102,4760,-116.2301,43.5678,610,-122.2216,37.7064,-107
103,2266,-119.1955,34.3059,914,-119.0709,34.2137,61
104,1486,-117.1932,32.7344,0,-117.864,33.6834,-8
105,1646,-83.063,40.0802,305,-82.4258,39.4633,853
107,25011,51.6162,25.2793,0,113.8955,22.3102,-8
107,10658,-93.2316,44.8866,305,-81.7717,26.5254,61
110,3653,-122.3078,47.4582,0,-114.815,43.1526,11278
110,9502,2.7476,41.8706,305,-13.7144,29.0177,11293
111,955,-77.6825,39.0629,305,-77.2261,38.8591,69
112,887,-122.0587,37.981,-305,-122.1236,37.658,-61
112,1489,-118.051,34.0632,0,-117.9124,34.1065,518
114,1259,-81.246,30.5853,9144,-81.2686,28.688,1364
115,1708,-97.6871,30.185,305,-98.4411,29.6315,823
115,7439,-112.006,33.431,305,-95.3478,29.7033,465
117,2569,137.6779,-34.8032,1219,138.6219,-34.8177,191
119,985,-83.7494,42.2212,0,-83.5121,42.3662,549
123,1046,106.7009,29.6451,1524,106.9558,28.0686,8870
125,2533,135.976,32.3134,11887,139.8263,35.4795,351
132,5301,112.9589,23.785,7620,104.4561,29.6754,9784
133,16031,-84.4098,33.6467,305,-118.3918,33.9532,30
134,1056,-76.8865,39.9452,305,-76.8546,39.8861,251
137,1075,-122.2092,37.7273,-305,-122.5675,38.2364,160
138,1754,-117.6405,33.9552,610,-117.5706,33.9107,671
143,975,106.0526,30.8189,7315,107.6294,29.7141,7498
143,1518,-93.2157,44.891,305,-95.9801,46.247,5532
143,1844,-111.4289,32.593,1524,-111.7203,33.4652,404
145,8020,-119.7279,39.5891,2438,-115.1715,36.0734,671
145,12956,46.2271,59.0233,11582,8.7249,45.6232,114
145,2829,-121.0354,38.0616,1524,-121.0121,38.0862,1547
146,792,-118.4056,33.9374,0,-118.371,34.1979,206
146,3848,113.9167,22.3022,-305,113.8915,22.3088,0
146,2019,-81.757,26.1677,305,-81.3242,28.6181,1052
146,2249,-115.893,32.7556,3962,-117.4144,33.9242,884
146,1199,-87.9289,41.9693,305,-87.8705,43.0938,853
148,2743,-74.1746,40.683,0,-70.5145,43.6587,770
149,4335,-73.7565,42.7255,610,-71.1458,42.1836,259
149,15829,86.7512,53.7861,2134,37.9144,55.3859,175
150,1279,175.6111,-40.3198,0,175.6029,-40.3198,84
153,9896,-95.7939,45.914,5182,-82.9724,42.441,1036
153,4429,-112.0751,33.6881,305,-112.0742,33.6881,404
154,5665,141.5662,42.5723,4267,136.8275,34.7645,457
155,14514,121.2588,25.1066,305,104.0243,1.422,404
155,8691,-104.6965,39.8644,1524,-122.3178,47.4664,107
156,1739,115.9604,-31.9565,0,117.7751,-29.5176,11278
157,2358,-47.7065,-25.9149,8839,-46.4909,-23.4398,747
160,3026,-115.1535,36.0986,610,-111.9954,33.4408,305
161,5777,121.0342,14.5172,305,113.9052,22.3132,-69
162,2068,128.8173,35.5864,4877,126.8101,37.5454,-84
163,1874,-122.5829,45.5806,0,-122.9303,43.8255,4465
163,2296,153.1084,-27.3801,0,151.4235,-24.1503,12192
166,5544,-111.2685,32.232,1829,-111.6373,33.2931,434
166,4157,139.8758,35.5048,914,135.2073,34.4027,69
167,9416,-93.2318,44.8866,305,-97.68,30.2399,335
168,2668,-94.3137,29.8643,12192,-97.0507,32.9229,251
168,2810,173.9334,-35.7264,3048,174.8411,-36.9969,251
168,1009,112.9232,23.0153,3353,112.0747,21.899,9784
169,1199,145.3469,-37.6835,305,145.7014,-38.1987,1029
169,1168,153.1195,-30.2867,305,153.0732,-30.3832,213
171,5767,106.8705,29.6068,9754,113.8261,22.5792,236
172,4259,-83.8387,37.0204,5182,-75.2039,39.8835,-38
173,10008,174.7268,-37.0287,610,151.1901,-34.001,168
174,1797,111.3333,22.0383,7315,114.2353,23.5938,8108
175,889,-121.5281,37.7091,914,-121.8103,37.7051,282
175,2444,-73.7466,45.4752,-305,-67.8857,45.3931,6866
176,3168,-87.8941,41.9579,0,-90.4082,38.7591,175
177,3400,-84.4156,33.6345,305,-78.2542,37.0027,5464
178,8787,152.8534,-31.4491,0,153.0931,-26.7949,23
179,1190,-123.2288,44.1092,305,-123.2595,44.2736,1158
179,3553,-122.2896,38.1954,0,-116.3315,33.789,1737
179,2844,-95.8939,41.3129,305,-93.1687,44.8596,434
179,1363,-87.6603,30.4521,2438,-85.7867,31.2671,1654
179,2662,-149.8366,61.216,-305,-149.8333,61.216,-30
180,19785,88.9312,22.947,8839,50.6509,26.2609,8
183,2369,-113.9416,35.9846,1524,-115.1648,36.0927,640
183,1207,-98.1085,26.4253,305,-97.9929,26.2003,244
183,2346,-93.836,41.817,3962,-93.1814,44.8649,373
184,4964,-116.2286,43.5673,610,-122.3766,37.6217,-76
186,2828,-89.1825,30.7154,11278,-82.9976,31.4884,7315
186,7697,101.7056,2.7317,0,116.0436,5.9191,23
187,1435,145.0994,-37.9707,0,145.6468,-38.3457,1234
188,3414,-98.1969,46.7611,10058,-93.1781,44.8744,343
189,1945,-122.9124,46.9891,0,-122.9124,46.9893,114
189,4360,-117.8714,33.6717,0,-122.3698,37.6165,-69
189,2120,-87.923,41.9691,0,-88.1334,44.5341,488
190,7496,-88.4583,35.0836,4267,-80.9317,35.1712,358
190,2932,-86.934,40.4115,0,-86.9264,40.4165,183
191,6538,-81.3945,28.3015,1524,-95.5045,29.8936,1265
191,918,150.8405,-34.5226,610,150.8203,-34.516,831
192,5505,-77.4602,38.9414,0,-76.3965,36.6965,290
192,4196,141.0244,39.3912,3048,136.9252,35.2542,-61
194,2831,-86.5386,30.4821,0,-84.4556,33.6319,297
194,5054,-47.9385,-15.8806,914,-46.4956,-23.4411,762
197,16550,-83.3734,42.1994,305,-122.3078,47.4582,99
200,4805,112.3788,24.0207,7315,104.6918,29.2498,6081
200,3624,-118.403,33.9375,0,-122.37,37.6166,-84
204,3967,-122.3753,37.6193,-305,-117.8712,33.672,-30
205,1399,-116.9746,32.5417,0,-114.7163,31.2954,10058
207,12356,28.0773,53.8755,0,32.0503,29.3512,11278
208,1691,111.171,22.8932,8839,114.3344,23.6756,8870
208,1493,-97.9612,32.8548,914,-97.4079,32.9464,503
209,6785,-80.3001,40.5052,610,-84.8384,42.0968,1410
213,3796,-117.9872,33.8709,0,-117.9648,33.875,61
214,1618,-90.3394,38.7348,305,-90.9729,39.6825,945
215,966,175.3121,-38.9285,5182,174.9663,-39.7683,1654
216,2849,-93.2164,44.8914,305,-93.4739,41.5354,945
216,3414,-117.8749,33.6719,-305,-118.1569,33.8161,-23
217,4606,-116.515,33.838,0,-122.3762,37.6192,-76
218,2279,-113.9549,35.9872,1524,-115.1622,36.0943,640
218,2982,-74.1749,40.6829,0,-78.7191,42.9485,183
218,3963,-87.8947,41.9572,0,-86.6758,36.145,175
219,6913,-74.1401,40.1207,914,-79.7559,27.3749,3749
220,7699,-93.8302,37.71,4267,-95.055,32.4226,6096
220,3563,138.6483,-34.7766,305,137.8583,-34.5782,1219
222,6246,-122.2536,37.5153,-305,-121.1383,43.9195,2187
224,3282,-121.9211,37.3574,-305,-118.3914,33.9532,38
225,2689,-72.1436,41.3404,610,-73.1265,41.5008,396
227,1374,113.0618,23.4004,5182,112.0511,21.8784,8412
229,5082,-97.3335,34.3582,2438,-97.098,32.6789,267
229,839,-116.5089,43.5634,914,-116.1908,43.3736,1280
232,2664,-112.6717,33.1339,1219,-112.0743,33.6881,427
232,9543,140.9111,38.14,0,140.9492,38.1438,46
232,1151,106.0716,26.967,9449,108.2652,27.9583,9479
