hex,home_lng,home_lat,count
8a2830951b4ffff,-122.47966,37.72626,47
8a283095c027fff,-122.48277,37.73278,49
8a28308ab92ffff,-122.25690,37.86703,88
8a2830920407fff,-122.39017,37.57756,38
8a28309466affff,-122.46796,37.69815,74
8a283097381ffff,-122.47721,37.67379,38
8a2830971c37fff,-122.49123,37.67978,27
8a2830972b2ffff,-122.42972,37.71812,32
8a283097086ffff,-122.46652,37.65491,48
8a283092866ffff,-122.40391,37.62304,28
8a283092eb0ffff,-122.40147,37.61042,90
8a283092bb9ffff,-122.44403,37.63001,43
8a28308c5847fff,-122.37686,37.91332,42
8a2830988367fff,-122.23247,37.77247,27
8a283095c027fff,-122.50569,37.74087,40
8a283082aa07fff,-122.39765,37.78958,30
8a2830999277fff,-122.18210,37.80146,31
8a283082aa8ffff,-122.39765,37.78958,94
8a283092e907fff,-122.39204,37.60255,45
8a283095c027fff,-122.49688,37.74211,43
8a283098d227fff,-122.24177,37.73378,42
8a283082bc37fff,-122.41353,37.78859,43
8a28308a839ffff,-122.25690,37.86703,95
8a28309aa917fff,-121.46593,37.73421,32
8a28308a8287fff,-122.26006,37.86723,46
8a28308a838ffff,-122.26338,37.86634,57
8a283092166ffff,-122.39204,37.60255,29
8a2830828807fff,-122.42092,37.76776,32
8a2830951acffff,-122.48242,37.75093,28
8a283092166ffff,-122.39833,37.58081,27
8a28308a8277fff,-122.25920,37.86223,43
8a283092eb0ffff,-122.39399,37.59721,57
8a28308a8227fff,-122.25920,37.86223,101
8a283098d237fff,-122.28661,37.76722,44
8a283082c117fff,-122.41278,37.75044,66
8a283085c667fff,-122.47882,37.89147,28
8a283081015ffff,-122.27391,37.80744,44
8a28308c2af7fff,-122.34208,37.96065,37
8a28342dd69ffff,-122.49616,37.58918,27
8a2830955a87fff,-122.46400,37.69641,27
8a2830988367fff,-122.22803,37.76273,55
8a28308a82effff,-122.25690,37.86703,82
8a283097179ffff,-122.47631,37.67876,62
8a2830972b2ffff,-122.45686,37.70948,36
8a283082bd67fff,-122.41644,37.78631,42
8a283098d6effff,-122.24415,37.74006,38
8a2830874967fff,-122.47574,37.77956,41
8a28308a82effff,-122.26006,37.86723,42
8a28308ac8a7fff,-122.23984,37.82793,30
8a28308a9c17fff,-122.25690,37.86703,39
8a283095ad8ffff,-122.38929,37.77321,64
8a28308a9577fff,-122.26181,37.86379,30
8a283092e2affff,-121.88114,37.77332,43
8a28308a8227fff,-122.25285,37.86780,149
8a283082a077fff,-122.39632,37.78605,34
8a28309466d7fff,-122.48061,37.70034,43
8a283097592ffff,-122.48155,37.63656,34
8a2830973967fff,-122.48173,37.67331,26
8a283082c00ffff,-122.41962,37.75296,33
8a2830973b97fff,-122.44811,37.65801,37
8a2830955817fff,-122.46400,37.69641,39
8a28342dd6b7fff,-122.48465,37.57403,31
8a283092e2affff,-122.43135,37.65734,31
8a283082aae7fff,-122.40672,37.77762,34
8a2830829aaffff,-122.45072,37.77991,57
